Outcome,Gap post,LOO rank,p (2-sided)
Varejo MA6 (log),0.014,1 / 23,0.043
Emprego formal 6m (per 1k),2.41,1 / 23,0.043
ICMS CONFAZ 6m pc (log),-0.02,1 / 23,0.043
