Outcome,Rank,p (classico)
Varejo MA6 (log),6 / 23,0.260869565217391
Emprego formal 6m (per 1k),9 / 23,0.391304347826087
ICMS CONFAZ 6m pc (log),6 / 23,0.260869565217391
