Outcome,w3m,w6m,w12m,w24m
Varejo MA6 (log),0.05,0.05,0.02,0.01
Emprego formal 6m (per 1k),4.12,4.77,3.11,2.41
ICMS CONFAZ 6m pc (log),-0.01,-0.02,-0.05,-0.02
