outcome,treated_ratio,n_placebo,rank,n_units,classic_p
retail_ma6_log,9.444690507193274,22,6,23,0.2608695652173913
formal_hiring_6m_per1k,2.797305569609226,22,9,23,0.391304347826087
icms_conf6m_pc_log,4.052013440471348,22,6,23,0.2608695652173913
