Channel,Outcome,Mean gap (w6m),RMSPE pre,Donors
Household consumption,"Retail volume, MA6 trailing, log", 0.00,0.00,24
Formal labor market,"Net formal hiring, 6m sum, per 1,000 residents",-0.10,0.50,24
State public finances,"ICMS CONFAZ per capita, 6m sum, log BRL/resident", 0.09,0.02,24
