Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Varejo MA6 (log),4.41,4.41,0.00,31
Emprego formal 6m (per 1k),-3.26,-3.17,0.50,31
ICMS CONFAZ 6m pc (log),6.84,6.84,0.02,31
