window,months,mean_balance,median_balance,sd_balance,min_balance,max_balance
Novo Caged ajustado: 2020-01 a 2021-12,24,28315.5,71311.5,100458.64756077065,-293560,127640
Novo Caged ajustado: 2022-01 a 2023-12,24,39609.041666666664,53692,64733.57991865694,-171798,102489
Old Caged consolidado: 2018-01 a 2019-12,24,11881.291666666666,19233,40176.290705144434,-110263,62339
