state_group,analysis_period,rows,states,liquidated_expenditure_total_real_mean,social_expenditure_share_real_mean,total_revenue_real_mean,own_revenue_ratio_mean
main_donor_pool,post,288,24,7902461962.546785,0.39441456995731417,8275919191.640844,0.5033676268546966
main_donor_pool,pre,552,24,7936868730.451714,0.3842265568147502,7954625705.500476,0.5040194554298778
treated_rr,post,12,1,838028976.7906456,0.5018210414129705,1101304762.9694808,0.22415172305573386
treated_rr,pre,23,1,846083726.9979888,0.4873263798496199,940848468.4647672,0.2198281700535686
