year,bimester,uf,annex_name,no_anexo,rows,status,error_message,downloaded_at
2015,1,51,annex06,RREO-Anexo 06,167,downloaded,,2026-05-28
2015,1,52,annex01,RREO-Anexo 01,465,downloaded,,2026-05-28
2015,1,52,annex02,RREO-Anexo 02,1047,downloaded,,2026-05-28
2015,1,52,annex06,RREO-Anexo 06,164,downloaded,,2026-05-28
2015,1,53,annex01,RREO-Anexo 01,431,downloaded,,2026-05-28
2015,1,53,annex02,RREO-Anexo 02,1088,downloaded,,2026-05-28
2015,1,53,annex06,RREO-Anexo 06,162,downloaded,,2026-05-28
2015,2,11,annex01,RREO-Anexo 01,453,downloaded,,2026-05-28
2015,2,11,annex02,RREO-Anexo 02,881,downloaded,,2026-05-28
2015,2,11,annex06,RREO-Anexo 06,157,downloaded,,2026-05-28
2015,2,12,annex01,RREO-Anexo 01,478,downloaded,,2026-05-28
2015,2,12,annex02,RREO-Anexo 02,1167,downloaded,,2026-05-28
2015,2,12,annex06,RREO-Anexo 06,153,downloaded,,2026-05-28
2015,2,13,annex01,RREO-Anexo 01,537,downloaded,,2026-05-28
2015,2,13,annex02,RREO-Anexo 02,1287,downloaded,,2026-05-28
2015,2,13,annex06,RREO-Anexo 06,170,downloaded,,2026-05-28
2015,2,14,annex01,RREO-Anexo 01,425,downloaded,,2026-05-28
2015,2,14,annex02,RREO-Anexo 02,991,downloaded,,2026-05-28
2015,2,14,annex06,RREO-Anexo 06,128,downloaded,,2026-05-28
2015,2,15,annex01,RREO-Anexo 01,474,downloaded,,2026-05-28
2015,2,15,annex02,RREO-Anexo 02,1375,downloaded,,2026-05-28
2015,2,15,annex06,RREO-Anexo 06,168,downloaded,,2026-05-28
2015,2,16,annex01,RREO-Anexo 01,408,downloaded,,2026-05-28
2015,2,16,annex02,RREO-Anexo 02,1020,downloaded,,2026-05-28
2015,2,16,annex06,RREO-Anexo 06,143,downloaded,,2026-05-28
2015,2,17,annex01,RREO-Anexo 01,463,downloaded,,2026-05-28
2015,2,17,annex02,RREO-Anexo 02,1131,downloaded,,2026-05-28
2015,2,17,annex06,RREO-Anexo 06,164,downloaded,,2026-05-28
2015,2,21,annex01,RREO-Anexo 01,352,downloaded,,2026-05-28
2015,2,21,annex02,RREO-Anexo 02,1218,downloaded,,2026-05-28
2015,2,21,annex06,RREO-Anexo 06,139,downloaded,,2026-05-28
2015,2,22,annex01,RREO-Anexo 01,434,downloaded,,2026-05-28
2015,2,22,annex02,RREO-Anexo 02,1022,downloaded,,2026-05-28
2015,2,22,annex06,RREO-Anexo 06,156,downloaded,,2026-05-28
2015,2,23,annex01,RREO-Anexo 01,514,downloaded,,2026-05-28
2015,2,23,annex02,RREO-Anexo 02,1302,downloaded,,2026-05-28
2015,2,23,annex06,RREO-Anexo 06,159,downloaded,,2026-05-28
2015,2,24,annex01,RREO-Anexo 01,433,downloaded,,2026-05-28
2015,2,24,annex02,RREO-Anexo 02,1085,downloaded,,2026-05-28
2015,2,24,annex06,RREO-Anexo 06,163,downloaded,,2026-05-28
2015,2,25,annex01,RREO-Anexo 01,528,downloaded,,2026-05-28
2015,2,25,annex02,RREO-Anexo 02,1298,downloaded,,2026-05-28
2015,2,25,annex06,RREO-Anexo 06,162,downloaded,,2026-05-28
2015,2,26,annex01,RREO-Anexo 01,600,downloaded,,2026-05-28
2015,2,26,annex02,RREO-Anexo 02,1329,downloaded,,2026-05-28
2015,2,26,annex06,RREO-Anexo 06,165,downloaded,,2026-05-28
2015,2,27,annex01,RREO-Anexo 01,470,downloaded,,2026-05-28
2015,2,27,annex02,RREO-Anexo 02,1166,downloaded,,2026-05-28
2015,2,27,annex06,RREO-Anexo 06,146,downloaded,,2026-05-28
2015,2,28,annex01,RREO-Anexo 01,441,downloaded,,2026-05-28
2015,2,28,annex02,RREO-Anexo 02,1202,downloaded,,2026-05-28
2015,2,28,annex06,RREO-Anexo 06,155,downloaded,,2026-05-28
2015,2,29,annex01,RREO-Anexo 01,503,downloaded,,2026-05-28
2015,2,29,annex02,RREO-Anexo 02,1460,downloaded,,2026-05-28
2015,2,29,annex06,RREO-Anexo 06,171,downloaded,,2026-05-28
2015,2,31,annex01,RREO-Anexo 01,632,downloaded,,2026-05-28
2015,2,31,annex02,RREO-Anexo 02,1328,downloaded,,2026-05-28
2015,2,31,annex06,RREO-Anexo 06,174,downloaded,,2026-05-28
2015,2,32,annex01,RREO-Anexo 01,566,downloaded,,2026-05-28
2015,2,32,annex02,RREO-Anexo 02,1201,downloaded,,2026-05-28
2015,2,32,annex06,RREO-Anexo 06,167,downloaded,,2026-05-28
2015,2,33,annex01,RREO-Anexo 01,616,downloaded,,2026-05-28
2015,2,33,annex02,RREO-Anexo 02,1316,downloaded,,2026-05-28
2015,2,33,annex06,RREO-Anexo 06,175,downloaded,,2026-05-28
2015,2,35,annex01,RREO-Anexo 01,625,downloaded,,2026-05-28
2015,2,35,annex02,RREO-Anexo 02,1357,downloaded,,2026-05-28
2015,2,35,annex06,RREO-Anexo 06,165,downloaded,,2026-05-28
2015,2,41,annex01,RREO-Anexo 01,493,downloaded,,2026-05-28
2015,2,41,annex02,RREO-Anexo 02,1042,downloaded,,2026-05-28
2015,2,41,annex06,RREO-Anexo 06,163,downloaded,,2026-05-28
2015,2,42,annex01,RREO-Anexo 01,586,downloaded,,2026-05-28
2015,2,42,annex02,RREO-Anexo 02,1213,downloaded,,2026-05-28
2015,2,42,annex06,RREO-Anexo 06,169,downloaded,,2026-05-28
2015,2,43,annex01,RREO-Anexo 01,534,downloaded,,2026-05-28
