outcome,short,channel,transform,gap_post,effect_label,mag_sd,persistence,pre_trend_p,pre_fit_corr,pre_fit_r2,poor_fit,inspace_rank,inspace_n_units,inspace_p,loo_rank,loo_p,loo_frac,tier,considerable,att_mean_w3m,att_mean_w6m,att_mean_w12m,att_mean_w24m,event_id,regime,direction,effect_for_plot,sign_stable_across_windows,removal_date,main_sample,timing
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,-0.13653236234918867,-13.3%,1.5858135723805409,1,0.9563098467130028,0.9898308667208974,0.9800231493300964,FALSE,2/27,27,0.07407407407407407,1/27,0.037,1,moderate,TRUE,-0.09715753495296536,-0.1421884425378752,-0.1477822469922183,-0.13653236234918867,RJ_2014_01,confaz,negative,-13.254222486166888,TRUE,2014-04-03,0,last-year
retail_ma6_log,Varejo MA6 (log),consumption,log,-0.02217099487505123,+0.3%,0.3015639713703963,0.631578947368421,0.42335623577932047,0.9981599243151892,0.9963948923453808,FALSE,20/25,25,0.8,2/25,0.08,0.75,weak,FALSE,-0.00767486239320961,0.00318838982658838,-0.00929872184915063,-0.02217099487505123,AM_2017_01,confaz,positive,0.3193478147844875,FALSE,2017-05-04,1,earlier
formal_hiring_6m_per1k,Emprego formal 6m (per 1k),labor,level,-0.04432521423129129,-0.1,0.02208740158316774,0.5263157894736842,0.5052672181722342,0.9694065649894816,0.9381798321870214,FALSE,23/25,25,0.92,3/25,0.12,0.16666666666666666,weak,FALSE,0.05193708622654636,-0.10357874571818287,-0.08987128643056765,-0.04432521423129129,AM_2017_01,confaz,negative,-0.10357874571818287,FALSE,2017-05-04,1,earlier
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,0.0517925313453861,+9.6%,1.1625872340834575,0.8421052631578947,0.3673507781269404,0.9392540935337852,0.8840358092119571,FALSE,12/25,25,0.48,3/25,0.12,1,weak,FALSE,0.08791122253394927,0.09122981647664888,0.07130195354183637,0.0517925313453861,AM_2017_01,confaz,positive,9.552074504810438,TRUE,2017-05-04,1,earlier
retail_ma6_log,Varejo MA6 (log),consumption,log,0.0623296924087689,+3.1%,1.6028708135620084,0.9473684210526316,0.5071543985727578,0.9890282226980812,0.9775394717091948,FALSE,5/25,25,0.2,1/25,0.04,1,weak,FALSE,0.04111196700850102,0.03007128071700856,0.03862051113395023,0.0623296924087689,TO_2018_01,confaz,positive,3.0527988109443127,TRUE,2018-03-22,1,last-year
formal_hiring_6m_per1k,Emprego formal 6m (per 1k),labor,level,-0.3320958530549511,-0.0,0.24200966691132617,0.8421052631578947,0.1832691083241989,0.883076365116024,0.7685736183127237,FALSE,24/25,25,0.96,5/25,0.2,1,weak,FALSE,0.48173691003273394,-0.00677985966322486,-0.23940317117238205,-0.3320958530549511,TO_2018_01,confaz,negative,-0.00677985966322486,FALSE,2018-03-22,1,last-year
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,0.01656961137092336,-0.2%,0.2208176901540801,0.8421052631578947,0.6970283230469401,0.9656994651257124,0.933239896319652,FALSE,25/25,25,1,22/25,0.16,0.9166666666666666,weak,FALSE,0.00837922867018647,-0.00202480822769472,0.01101836472531606,0.01656961137092337,TO_2018_01,confaz,negative,-0.2022759686382991,FALSE,2018-03-22,1,last-year
retail_ma6_log,Varejo MA6 (log),consumption,log,-0.05693622000756617,-0.8%,2.0059811268427485,0.7894736842105263,0.4725385932982845,0.8989109159491596,0.7428498464699442,FALSE,16/23,23,0.6956521739130435,23/23,0.043,1,weak,FALSE,0.01185514385967589,-0.00765176495356959,-0.071415617913749,-0.05693622000756617,RR_2018_01,siconfi,negative,-0.7622564725344505,FALSE,2018-12-10,0,last-year
formal_hiring_6m_per1k,Emprego formal 6m (per 1k),labor,level,2.377955178121796,+1.4,2.1089386558032945,1,0.4867350944786565,0.8048011999359723,0.6386951551352982,FALSE,3/23,23,0.13043478260869565,23/23,0.043,1,suggestive,TRUE,0.3771025490500533,1.3940347191042326,2.1417943158105563,2.377955178121796,RR_2018_01,siconfi,positive,1.3940347191042326,TRUE,2018-12-10,0,last-year
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,0.10811095656770849,+18.9%,2.4150289925393764,0.8421052631578947,0.10063063593098706,0.8887666401626777,0.7803410264912279,FALSE,9/23,23,0.391304347826087,2/23,0.087,1,weak,FALSE,0.14596714364978128,0.1733795121512817,0.10112622008627,0.10811095656770849,RR_2018_01,siconfi,positive,18.931737984386963,TRUE,2018-12-10,0,last-year
retail_ma6_log,Varejo MA6 (log),consumption,log,0.02939790805762237,+3.5%,2.2709954225775744,1,0.6255851928288725,0.934003084178699,0.861015711830504,FALSE,13/23,23,0.5652173913043478,1/23,0.043,1,weak,FALSE,0.03307908777669569,0.03422833239127509,0.03405776202339735,0.02939790805762237,RJ_2020_01,siconfi,positive,3.4820862876787873,TRUE,2020-08-28,1,earlier
formal_hiring_6m_per1k,Emprego formal 6m (per 1k),labor,level,-0.7658263445648462,-2.8,0.21016009235024188,0.7368421052631579,0.9774121828453202,0.9744181291558256,0.9495197674293764,FALSE,6/23,23,0.2608695652173913,19/23,0.217,1,weak,FALSE,-4.066713296500722,-2.7937486309343895,-1.9991650237776395,-0.7658263445648462,RJ_2020_01,siconfi,negative,-2.7937486309343895,TRUE,2020-08-28,1,earlier
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,0.00494159230378446,+4.1%,0.09032464992756987,0.47368421052631576,0.6042102960060542,0.9087860169628575,0.8190029279429044,FALSE,23/23,23,1,23/23,0.043,0,weak,FALSE,0.0590668928702159,0.04005568357770898,0.0134275293325546,0.00494159230378446,RJ_2020_01,siconfi,positive,4.0868731873643815,TRUE,2020-08-28,1,earlier
retail_ma6_log,Varejo MA6 (log),consumption,log,0.01351589240999637,+5.0%,0.2838680318131051,0.6842105263157895,0.3366324961241276,0.996736499454864,0.9935184386500424,FALSE,6/23,23,0.2608695652173913,1/23,0.043,1,weak,FALSE,0.04629740292269643,0.04842576701206388,0.02344134848665025,0.01351589240999637,SC_2020_01,siconfi,positive,4.961745268857287,TRUE,2020-10-24,0,earlier
formal_hiring_6m_per1k,Emprego formal 6m (per 1k),labor,level,2.410013840456581,+4.8,0.4150893955516949,0.9473684210526316,0.5367919508826619,0.9809110586437144,0.9628431768011024,FALSE,9/23,23,0.391304347826087,1/23,0.043,1,weak,FALSE,4.119300624249723,4.774437381444865,3.1140046906803422,2.410013840456581,SC_2020_01,siconfi,positive,4.774437381444865,TRUE,2020-10-24,0,earlier
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,-0.01991262097792189,-2.3%,0.328660527756636,0.7368421052631579,0.7470174572821746,0.9761700215373642,0.9536435249793914,FALSE,6/23,23,0.2608695652173913,1/23,0.043,0,weak,FALSE,-0.01277309724276687,-0.02311306746334581,-0.04524129351976636,-0.01991262097792189,SC_2020_01,siconfi,negative,-2.2848006570237,TRUE,2020-10-24,0,earlier
retail_ma6_log,Varejo MA6 (log),consumption,log,-0.018326292936847,-4.1%,0.33400780592842966,0.6842105263157895,0.4889126976925543,0.9878816894850032,0.9766685684522955,FALSE,7/22,22,0.3181818181818182,1/22,0.045,0,weak,FALSE,-0.03817537121472133,-0.04179935981378913,-0.04015030279427253,-0.018326292936847,SC_2021_01,siconfi,negative,-4.093781231453542,TRUE,2021-03-30,0,earlier
formal_hiring_6m_per1k,Emprego formal 6m (per 1k),labor,level,0.8477588746134882,+2.2,0.10906443358851942,0.631578947368421,0.884425651016933,0.94953268506445,0.883331862904504,FALSE,20/22,22,0.9090909090909092,1/22,0.045,1,weak,FALSE,3.978439399711543,2.2024235862876633,1.6158207791767794,0.8477588746134882,SC_2021_01,siconfi,positive,2.2024235862876633,TRUE,2021-03-30,0,earlier
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,0.01335771184249369,-6.8%,0.1931469695346185,0.5263157894736842,0.8387685528203023,0.9769529298080198,0.9536135804690336,FALSE,5/22,22,0.2272727272727273,1/22,0.045,1,weak,FALSE,-0.02935778516013225,-0.06995864235735594,-0.0432877364521956,0.01335771184249369,SC_2021_01,siconfi,negative,-6.7567617686224875,FALSE,2021-03-30,0,earlier
retail_ma6_log,Varejo MA6 (log),consumption,log,-0.00227994127932912,+1.8%,0.05401115262872241,0.47368421052631576,0.7523849437267786,0.9708990872384864,0.9420165198853822,FALSE,4/23,23,0.17391304347826086,1/23,0.043,0,weak,FALSE,0.03296672215760488,0.01744695697807226,0.01143801355343021,-0.00227994127932912,TO_2021_01,siconfi,positive,1.7600044137741078,FALSE,2021-10-20,1,earlier
formal_hiring_6m_per1k,Emprego formal 6m (per 1k),labor,level,0.3229204588309157,-0.5,0.11078922781007562,0.6842105263157895,0.9361531481001132,0.9829734865479656,0.9665454386568034,FALSE,20/23,23,0.8695652173913043,3/23,0.13,1,weak,FALSE,-0.6673028405725502,-0.47948563821461415,0.26489371275565093,0.3229204588309157,TO_2021_01,siconfi,negative,-0.47948563821461415,FALSE,2021-10-20,1,earlier
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,0.03113570959696697,+1.7%,0.2891306123616878,0.5789473684210527,0.7814895859345655,0.9957509625034272,0.9914475774291476,FALSE,4/23,23,0.17391304347826086,22/23,0.087,0.04545454545454545,weak,FALSE,0.05242744353020553,0.01656127038217351,0.04780702282088097,0.03113570959696697,TO_2021_01,siconfi,positive,1.6699168424324728,TRUE,2021-10-20,1,earlier
retail_ma6_log,Varejo MA6 (log),consumption,log,0.01597013617477627,+1.4%,0.38428300280688993,0.9473684210526316,0.7826298674886835,0.9861503398039064,0.9730938595173076,FALSE,17/23,23,0.7391304347826086,7/23,0.304,0.9545454545454546,weak,FALSE,0.00748694563426077,0.01397606096381013,0.01615564521816844,0.01597013617477628,AL_2022_01,siconfi,positive,1.4074182689359782,TRUE,2022-10-11,0,last-year
formal_hiring_6m_per1k,Emprego formal 6m (per 1k),labor,level,-0.4874042499376177,+0.9,0.07058148390984673,0.631578947368421,0.9125809147970848,0.9866253152796892,0.9742426985943856,FALSE,13/23,23,0.5652173913043478,23/23,0.043,1,weak,FALSE,1.4561297509567948,0.916409610304064,0.7610246821051915,-0.4874042499376177,AL_2022_01,siconfi,positive,0.916409610304064,FALSE,2022-10-11,0,last-year
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,0.09042610863040056,+8.6%,0.5328279187083836,1,0.348136093766661,0.9985750444521104,0.99713844390449,FALSE,3/23,23,0.13043478260869565,23/23,0.043,0,suggestive,TRUE,0.08080113681843937,0.08257827953488779,0.09042610863040056,0.09042610863040056,AL_2022_01,siconfi,positive,8.608368823751821,TRUE,2022-10-11,0,last-year
