outcome,short,channel,transform,gap_post,effect_label,mag_sd,persistence,pre_trend_p,pre_fit_corr,pre_fit_r2,poor_fit,inspace_rank,inspace_n_units,inspace_p,loo_rank,loo_p,loo_frac,tier,considerable,att_mean_w3m,att_mean_w6m,att_mean_w12m,att_mean_w24m,event_id,regime,direction,effect_for_plot,sign_stable_across_windows,removal_date,main_sample,timing
retail_ma6_log,Varejo MA6 (log),consumption,log,0.13455806668710404,+8.5%,11.179473548777873,1,0.5692154170879588,0.9612443452095464,0.9244608094842026,FALSE,1/27,27,0.03703703703703703,1/27,0.037,1,strong,TRUE,0.07426505049919478,0.08204038902681465,0.1075654012204705,0.13455806668710404,PI_2001_01,confaz,positive,8.549965121870784,TRUE,2001-11-06,1,earlier
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,-0.06041334878013551,-6.2%,0.5034783691628375,1,0.8893314167580323,0.9953219941180296,0.9909188779720812,FALSE,8/27,27,0.2962962962962963,27/27,0.037,1,weak,FALSE,-0.05579316526295841,-0.06419917780630764,-0.07518373447662656,-0.06041334878013551,PI_2001_01,confaz,negative,-6.218181164244518,TRUE,2001-11-06,1,earlier
retail_ma6_log,Varejo MA6 (log),consumption,log,-0.29066926667485304,-25.2%,3.0032657816861494,1,0.17244973977799302,0.979893909622009,0.9534211457219732,FALSE,16/26,26,0.6153846153846154,26/26,0.038,1,weak,FALSE,-0.25013130799954464,-0.29063894969369836,-0.2995792648694752,-0.29066926667485304,RR_2004_01,confaz,negative,-25.221438248945947,TRUE,2004-11-10,1,earlier
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,0.13984297399920917,+15.9%,3.2662992749402977,1,0.9018661111306712,0.8021932123194507,0.4568578413327187,FALSE,10/26,26,0.38461538461538464,26/26,0.038,0.92,weak,FALSE,0.15016089784105238,0.147941059792536,0.12160737039881082,0.13984297399920917,RR_2004_01,confaz,positive,15.944455644630938,TRUE,2004-11-10,1,earlier
retail_ma6_log,Varejo MA6 (log),consumption,log,-0.00625182358092259,-7.0%,0.09784854123680004,0.5789473684210527,0.13997270445119575,0.99490410786182,0.9896275435028564,FALSE,8/24,24,0.3333333333333333,24/24,0.042,1,weak,FALSE,-0.06262229471139828,-0.07226853834303393,-0.05219478540390695,-0.00625182358092258,PB_2009_01,confaz,negative,-6.971895386508676,TRUE,2009-02-17,1,earlier
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,-0.03737428611246315,-3.2%,0.44608064701695216,1,0.00548135352041394,0.997542350968699,0.9930765322746744,FALSE,5/24,24,0.20833333333333337,24/24,0.042,1,weak,FALSE,-0.02613298261071713,-0.03298410241696607,-0.03340196229011605,-0.03737428611246315,PB_2009_01,confaz,negative,-3.2446058764113217,TRUE,2009-02-17,1,earlier
retail_ma6_log,Varejo MA6 (log),consumption,log,-0.00897054609265748,-3.5%,0.11605947426427506,0.5789473684210527,0.1366868570713074,0.9989433411336872,0.9978158480772176,FALSE,15/24,24,0.625,24/24,0.042,1,weak,FALSE,-0.03140552251459461,-0.03608304260865624,-0.02718832690824409,-0.00897054609265748,MA_2009_01,confaz,negative,-3.543980943723901,TRUE,2009-04-17,1,earlier
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,-0.14966921244400003,-9.1%,1.5711840754860558,1,0.7110730580359881,0.993701827586649,0.987230993291074,FALSE,1/24,24,0.04166666666666666,24/24,0.042,1,strong,TRUE,-0.0661306201115579,-0.09564175919161456,-0.134197432203666,-0.14966921244400003,MA_2009_01,confaz,negative,-9.121047674629102,TRUE,2009-04-17,1,earlier
retail_ma6_log,Varejo MA6 (log),consumption,log,0.3108989755896947,+19.6%,11.426499445851125,1,0.3842004333385365,0.9656111100877732,0.9345050420653288,FALSE,1/24,24,0.04166666666666666,24/24,0.042,1,strong,TRUE,0.1077013606021818,0.17925742615152984,0.2635362012529736,0.3108989755896947,TO_2009_01,confaz,positive,19.632867081769035,TRUE,2009-09-08,1,earlier
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,-0.0498086435781338,-4.7%,0.5958481959446241,0.631578947368421,0.8023502420443587,0.977155944930094,0.9547399285124084,FALSE,9/24,24,0.375,24/24,0.042,1,weak,FALSE,-0.034646030944696093,-0.04785863836465909,-0.09734061820547096,-0.0498086435781338,TO_2009_01,confaz,negative,-4.673146684791696,TRUE,2009-09-08,1,earlier
retail_ma6_log,Varejo MA6 (log),consumption,log,0.01418192559274855,+1.5%,0.6726563586499268,1,0.1351329246748851,0.9673092418568612,0.9336913063720736,FALSE,24/24,24,1,1/24,0.042,1,weak,FALSE,0.01955693469619538,0.0144692531529594,0.01366681304281332,0.01418192559274856,DF_2010_01,confaz,positive,1.4574439506717551,TRUE,2010-02-11,0,last-year
formal_hiring_6m_per1k,Emprego formal 6m (per 1k),labor,level,-1.8647811203520095,-2.1,0.927389805602941,1,0.6187438798658884,0.795369376093944,0.4817872996449829,FALSE,17/24,24,0.7083333333333334,1/24,0.042,1,weak,FALSE,-1.8889574646791047,-2.0922656906320394,-2.1155770039233985,-1.8647811203520095,DF_2010_01,confaz,negative,-2.0922656906320394,TRUE,2010-02-11,0,last-year
icms_conf6m_pc_log,ICMS CONFAZ 6m pc (log),fiscal,log,-0.06442708978187704,-4.4%,1.283298552090879,1,0.29528111683508884,0.9793327746181923,0.9503446288366666,FALSE,11/24,24,0.4583333333333333,2/24,0.083,0.9130434782608696,weak,FALSE,-0.04313054022087689,-0.04449032793166655,-0.06695379628041076,-0.06442708978187704,DF_2010_01,confaz,negative,-4.351514876427709,TRUE,2010-02-11,0,last-year
retail_ma6_log,Varejo MA6 (log),consumption,log,0.03805147254909094,+4.5%,1.0585310951050957,1,0.46394595853135145,0.998250653293338,0.996531545753897,FALSE,5/27,27,0.18518518518518515,1/27,0.037,1,weak,FALSE,0.04626669373857961,0.04441836989665182,0.03430576432653246,0.03805147254909094,RJ_2014_01,confaz,positive,4.541963551440831,TRUE,2014-04-03,0,last-year
formal_hiring_6m_per1k,Emprego formal 6m (per 1k),labor,level,0.02002541835374759,-0.2,0.00992779551629164,0.5263157894736842,0.713333656368393,0.9128015641127856,0.8212348403447428,FALSE,24/27,27,0.8888888888888888,26/27,0.074,0.03846153846153846,weak,FALSE,-0.16754728168611632,-0.20006340690784652,-0.21766135073674273,0.02002541835374759,RJ_2014_01,confaz,negative,-0.20006340690784652,FALSE,2014-04-03,0,last-year
