pseudo_treated_state,period_date,event_time,augmented_gap
AP,2020-04-01,-18,-0.00680124860659248
AP,2020-05-01,-17,0.014403776830874016
AP,2020-06-01,-16,-0.008900156453061747
AP,2020-07-01,-15,-0.03390170864237607
AP,2020-08-01,-14,0.011006857620676769
AP,2020-09-01,-13,0.0073640366207516905
AP,2020-10-01,-12,0.0019453776167184245
AP,2020-11-01,-11,-0.02079937587349523
AP,2020-12-01,-10,-0.017251017878583852
AP,2021-01-01,-9,0.005654412740264014
AP,2021-02-01,-8,0.016658665396913186
AP,2021-03-01,-7,-0.015991134665140905
AP,2021-04-01,-6,-0.01299125550163005
AP,2021-05-01,-5,0.017352396363135014
AP,2021-06-01,-4,0.020764647859363272
AP,2021-07-01,-3,0.0025547294624681527
AP,2021-08-01,-2,-0.026048686404812393
AP,2021-09-01,-1,0.009578410073809884
AP,2021-10-01,0,-0.014703210075924567
AP,2021-11-01,1,-0.05927697884456418
AP,2021-12-01,2,-0.06212898611964768
AP,2022-01-01,3,-0.06979357138334574
AP,2022-02-01,4,-0.07224707365739835
AP,2022-03-01,5,-0.06372494146883234
AP,2022-04-01,6,-0.056881079720644045
AP,2022-05-01,7,-0.04320545167287548
AP,2022-06-01,8,-0.02843992173797716
AP,2022-07-01,9,-0.016689518955169902
AP,2022-08-01,10,-0.007854484068104739
AP,2022-09-01,11,5.84601166525367e-4
AP,2022-10-01,12,0.027195280963830726
AP,2022-11-01,13,0.03859741525881866
AP,2022-12-01,14,0.02696728523073766
AP,2023-01-01,15,0.02502770941514676
AP,2023-02-01,16,0.013521990430757747
AP,2023-03-01,17,0.00643052562783808
AP,2023-04-01,18,-0.01852222928282732
AP,2023-05-01,19,-0.0037986690869376005
AP,2023-06-01,20,-0.04096420824121694
AP,2023-07-01,21,-0.04417621279316908
AP,2023-08-01,22,-0.04663173360162176
AP,2023-09-01,23,-0.04650087005089798
BA,2019-03-01,-31,-0.004950637931893098
BA,2019-04-01,-30,0.0023561714758599805
BA,2019-05-01,-29,0.004659568242680656
BA,2019-06-01,-28,0.0029640762434857137
BA,2019-07-01,-27,0.009982612076886888
BA,2019-08-01,-26,0.0058969756044300325
BA,2019-09-01,-25,0.002390743264263584
BA,2019-10-01,-24,-0.0025967676752420843
BA,2019-11-01,-23,-0.0036809052807367237
BA,2019-12-01,-22,0.007831055598565229
BA,2020-01-01,-21,5.784246394506809e-4
BA,2020-02-01,-20,4.297479952377614e-4
BA,2020-03-01,-19,-0.005933837670132114
BA,2020-04-01,-18,-2.691810285027074e-4
BA,2020-05-01,-17,0.009791624003943511
BA,2020-06-01,-16,-0.0021021081573247002
BA,2020-07-01,-15,-0.007477068866889702
BA,2020-08-01,-14,0.004517324785608068
BA,2020-09-01,-13,0.0036638961918544766
BA,2020-10-01,-12,0.008636512589112577
BA,2020-11-01,-11,-0.009133299866224576
BA,2020-12-01,-10,-0.01253980919492026
BA,2021-01-01,-9,0.009530290964406163
BA,2021-02-01,-8,0.01130010308372853
BA,2021-03-01,-7,0.0012895639820245108
BA,2021-04-01,-6,-0.009354293013743131
BA,2021-05-01,-5,0.0045608258923364176
BA,2021-06-01,-4,0.0036248009975077267
BA,2021-07-01,-3,-0.014017006497879514
BA,2021-08-01,-2,-0.01261470588886393
BA,2021-09-01,-1,0.007739986375416841
BA,2021-10-01,0,0.010953181219528041
BA,2021-11-01,1,-0.010950368745800354
BA,2021-12-01,2,0.0069958593216767895
BA,2022-01-01,3,0.006671333562939807
BA,2022-02-01,4,0.009082755215429117
BA,2022-03-01,5,0.009814255670465677
BA,2022-04-01,6,0.011270831081338528
BA,2022-05-01,7,0.014508820109472076
BA,2022-06-01,8,0.018748143767910896
BA,2022-07-01,9,0.013200512612604243
BA,2022-08-01,10,0.006434407000287301
BA,2022-09-01,11,-0.006306483933506968
BA,2022-10-01,12,-0.007275618824102992
BA,2022-11-01,13,-0.014443706542456525
BA,2022-12-01,14,-0.01599731946239835
BA,2023-01-01,15,-0.011863227366987417
BA,2023-02-01,16,0.005434741876008786
BA,2023-03-01,17,0.018132357515992403
BA,2023-04-01,18,0.02420500151027305
BA,2023-05-01,19,0.024410678998263435
BA,2023-06-01,20,0.030578126421376695
BA,2023-07-01,21,0.03523747040103409
BA,2023-08-01,22,0.038598632306852565
BA,2023-09-01,23,0.041193919212033414
CE,2019-03-01,-31,0.007977773486597783
CE,2019-04-01,-30,0.006814945077819878
CE,2019-05-01,-29,0.004647753880215433
CE,2019-06-01,-28,-0.005171069145992746
CE,2019-07-01,-27,-0.006983979354642678
CE,2019-08-01,-26,0.005273632538025375
CE,2019-09-01,-25,0.005609660404979344
CE,2019-10-01,-24,0.0017988957181076515
CE,2019-11-01,-23,0.005175486753929981
CE,2019-12-01,-22,-0.011113872170355421
CE,2020-01-01,-21,-0.007739786384978409
CE,2020-02-01,-20,-0.001947548904175811
CE,2020-03-01,-19,0.008785584446629358
CE,2020-04-01,-18,-0.0025595097590453975
CE,2020-05-01,-17,-0.019738011591878823
CE,2020-06-01,-16,0.01531945295737902
CE,2020-07-01,-15,0.017197523062639775
CE,2020-08-01,-14,-0.003718505068668776
CE,2020-09-01,-13,-0.008654993062832794
CE,2020-10-01,-12,0.004298863060625102
CE,2020-11-01,-11,0.01779101915706427
CE,2020-12-01,-10,0.003919181287928453
CE,2021-01-01,-9,0.0023377432497992956
CE,2021-02-01,-8,-0.010185048609727687
CE,2021-03-01,-7,0.013114990898849044
CE,2021-04-01,-6,-0.01106818697207057
CE,2021-05-01,-5,-0.006431225831643239
CE,2021-06-01,-4,-0.009954071432820122
CE,2021-07-01,-3,-0.0029081842557108217
CE,2021-08-01,-2,0.018001188339637153
CE,2021-09-01,-1,-0.009598914639568079
CE,2021-10-01,0,0.012101169558326852
CE,2021-11-01,1,0.027640150539836483
CE,2021-12-01,2,0.03222051622289257
CE,2022-01-01,3,0.04655786132022133
CE,2022-02-01,4,0.043692553945517965
