pseudo_treated_state,rmspe_pre,rmspe_post,post_pre_ratio
AC,0.04025373403897612,0.12894141260697747,3.203216190630378
AM,0.0211139062827705,0.09232187268109933,4.372562397723456
AP,0.02416250040477779,0.04954321560350362,2.0504175798671542
BA,0.020338764505295898,0.14741491309063176,7.247977774276663
CE,0.021128574616290013,0.05911441681284738,2.7978421586125597
DF,0.04405656795664294,0.1848791622503663,4.196404096485909
ES,0.021014660594222967,0.07040721645702548,3.35038561014784
GO,0.020893844196448623,0.07335898560851452,3.5110334373501035
MA,0.023317639105361054,0.07128087925327864,3.0569509602235057
MG,0.03142275946254595,0.09712914089752431,3.0910442799683597
MS,0.022586280524595312,0.07418868274771828,3.284679062890881
MT,0.018769949918082045,0.040729033554919615,2.169906352050693
PA,0.03098833701292032,0.19541326167450143,6.306026089526055
PB,0.009556676450661626,0.0847856087266167,8.871871844185625
PE,0.026487397255316267,0.1150271583514266,4.342712771763167
PI,0.015505489192311584,0.08104129440125628,5.226619643928468
PR,0.0158478190027907,0.04669275561145968,2.946320601165206
RN,0.012366997573099473,0.040681998210889005,3.289561429152371
RO,0.01864387469729634,0.03983675956238833,2.136721052312441
RS,0.020166180755423074,0.06801598969793377,3.372774970275071
SE,0.009786160471760518,0.08591747671344173,8.779487824808301
SP,0.0231649498302415,0.07905364877580982,3.4126406210734137
