pseudo_treated_state,rmspe_pre,rmspe_post,post_pre_ratio
AC,0.006700163127036913,0.030388597393187704,4.535501123929618
AM,0.010684573155475727,0.03268372314140513,3.058963859932493
AP,0.015283013330146651,0.034369170073646024,2.2488477456111875
BA,0.0071403997876132936,0.021278305282801606,2.9799879440523545
CE,0.00966433087349941,0.03357303465129004,3.4739119645986825
DF,0.009308620464816068,0.01760249286826549,1.890988351582052
ES,0.007936024697989947,0.017833049564480917,2.2471010667340425
GO,0.005438392623520293,0.010917804389578251,2.007542512168074
MA,0.007400794514125808,0.03628761831283275,4.903205763053008
MG,0.0044950854869018385,0.010820453384060494,2.4071741050509603
MS,0.0036598901422785447,0.023446381955899813,6.4063075787577475
MT,0.0037463758638841384,0.004361989723683352,1.1643225031780347
PA,0.005573973148582218,0.020015547392017864,3.5908941177997904
PB,0.011565616403692981,0.06427298498378924,5.557246820261688
PE,0.005799322500628272,0.02292066986851123,3.952301301751732
PI,0.0055531796184434936,0.020702366252982624,3.728020283050976
PR,0.004612310753947769,0.005862744891583454,1.271107955283675
RN,0.004462447840524245,0.02691171438444025,6.030706765925735
RO,0.01105272541966096,0.05379068182400315,4.866734654270744
RS,0.00570688558136592,0.01884114362425749,3.301475621971019
SE,0.0055885521070572815,0.008643824490242605,1.5467019586928596
SP,0.00362225090115707,0.00639500374897928,1.7654778543740575
