donor_state,scm_weight
MA,0.37979843717440426
MG,0.35376460142373856
AP,0.14136284850098937
MS,0.12507411287865383
GO,4.684667856512849e-12
BA,4.2874456976443595e-12
ES,3.5274735147564983e-12
PB,3.379901533087738e-12
SP,2.2954579028949124e-12
RS,2.036632274001632e-12
CE,2.0017976402027206e-12
PA,4.050953699184857e-16
RJ,1.1925420642156906e-16
RN,3.263050549654154e-17
MT,5.9985593402459364e-18
AC,1.7347234759577412e-18
AL,0
DF,0
PE,0
PI,0
PR,0
RO,0
SC,0
SE,0
