donor_state,weight
SP,-0.7359009126349837
PR,0.6695143501573382
SC,0.6251356861141505
BA,0.5971487353059143
PI,0.4701250507485974
RN,0.38272579443213317
AC,0.36307098223539863
PA,-0.33127388453458656
GO,0.28803145658330515
ES,-0.2846162530425765
RS,-0.27266109562383295
PB,-0.2682706031381172
PE,0.25265873235003317
RJ,0.21371240935270186
MT,-0.21081452226450834
MA,-0.2066589256150558
AP,-0.17832788412485492
MS,-0.17589498864537023
CE,-0.16911790075298944
RO,0.09163692270051976
DF,-0.06639134924045385
AL,-0.05527170307170492
MG,0.007092581221419342
SE,-0.005652677368365185
