iteration,step,a_star,b_star,cv_mspe
1,a,0,0,1257.311710331354
1,a,0.1,0,1366.7021569426477
1,a,0.2,0,1893.843991641868
1,a,0.30000000000000004,0,2632.638403472441
1,a,0.4,0,3762.8031307625142
1,a,0.5,0,4386.797362124569
1,a,0.6000000000000001,0,4772.445987731389
1,a,0.7000000000000001,0,5164.347822494336
1,a,0.8,0,5387.876809848781
1,a,0.9,0,5617.093809523679
1,a,1,0,5709.183938662464
1,b,0,0,1257.311710331354
1,b,0,0.1,1264.3542446550275
1,b,0,0.2,1310.4219728224282
1,b,0,0.30000000000000004,1402.615805631484
1,b,0,0.4,1612.3819461017647
1,b,0,0.5,1810.7312869095492
1,b,0,0.6000000000000001,2023.1544570929832
1,b,0,0.7000000000000001,2525.90554826195
1,b,0,0.8,3276.4309865024875
1,b,0,0.9,4432.278106128534
1,b,0,1,6063.73288587922
