donor_state,weight
SP,-1.3165195887844678
RN,0.8273472001585384
MA,-0.7814138916364423
BA,0.745120484796449
SC,0.690305100449699
AC,0.5496090999867898
RO,0.48885900829940815
ES,-0.39777433262712164
PA,-0.38914022021551115
MG,0.36944465945664035
GO,0.3599280072230062
PR,0.2580103217879539
PE,0.20688491037042353
MT,-0.18379103998553922
PB,-0.1818223638160987
RS,-0.132579267326682
RJ,0.12829614872642106
AL,-0.10501036613312993
PI,-0.08333213840761339
DF,-0.051324778293312626
MS,-0.04892258876269622
AP,0.046793457249477415
SE,0.012367787441609004
CE,-0.011335608775342502
