period_date,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmentation_cv_rmse,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2015-08-01,pre,2239.036012424337,2104.9829081977828,138.81765458642712,1e-4,0.007065910772297593,2243.80056278421,134.0531042265543,-4.764550359872828,liquidated_expenditure_total_real_pc_ma4_clean
2015-10-01,pre,2512.856444733925,2309.2121498342804,196.39890792788248,1e-4,0.01847143527181176,2505.611057762163,203.6442948996446,7.2453869717619455,liquidated_expenditure_total_real_pc_ma4_clean
2015-12-01,pre,2698.7935709644803,2711.3859732114774,-26.701160034710494,1e-4,0.017835980741270713,2684.684813176767,-12.592402246997153,14.10875778771333,liquidated_expenditure_total_real_pc_ma4_clean
2016-02-01,pre,2479.2634501627363,2563.2762761326476,-81.00929494567796,1e-4,0.017880203380692867,2482.2669811869696,-84.01282596991132,-3.0035310242333253,liquidated_expenditure_total_real_pc_ma4_clean
2016-04-01,pre,2564.0568230705544,2515.118391485391,95.94177960291589,1e-4,0.012604330113781296,2611.060171088307,48.93843158516347,-47.003348017752614,liquidated_expenditure_total_real_pc_ma4_clean
2016-06-01,pre,2738.909747216999,2415.519346689504,275.8854175158924,1e-4,0.022018203666982396,2691.4047642053965,323.39040052749533,47.50498301160269,liquidated_expenditure_total_real_pc_ma4_clean
2016-08-01,pre,2035.4727688204675,1969.1904760488014,49.69747032896858,1e-4,0.019609934295823923,2018.88794637777,66.2822927716661,16.584822442697487,liquidated_expenditure_total_real_pc_ma4_clean
2016-10-01,pre,2076.4120358080777,2092.9576831933264,22.819283490291145,1e-4,0.025871162049938154,2115.7769666836175,-16.545647385248685,-39.36493087553981,liquidated_expenditure_total_real_pc_ma4_clean
2016-12-01,pre,2537.9804473351055,2455.895719794744,35.56040350830374,0.0023598334667821936,0.019192810949494817,2491.4561233030477,82.08472754036165,46.52432403205785,liquidated_expenditure_total_real_pc_ma4_clean
2017-02-01,pre,2186.5769270128535,2312.9637681625627,-114.86808897420636,1e-4,0.018666568974230288,2198.0956791883564,-126.3868411497092,-11.518752175502868,liquidated_expenditure_total_real_pc_ma4_clean
