donor_state,scm_weight
AC,0.9921901626109189
DF,0.007809837389028577
MA,2.6920819426589416e-14
PA,1.0976873473427014e-14
BA,5.4115699890561434e-15
PE,2.7082860846558784e-15
PB,2.4338542498422727e-15
GO,1.1711418354009796e-15
CE,8.947270119879226e-16
MT,8.235584335361524e-16
AM,4.4493217301328e-16
PR,3.773869402246941e-16
AL,1.1956716515178528e-16
SP,1.0566037710426075e-16
RN,7.259550858352936e-17
RJ,2.7903850850793917e-17
AP,1.966908960364229e-17
SC,1.576853262084243e-17
ES,0
MG,0
MS,0
PI,0
RO,0
RS,0
SE,0
TO,0
