period_date,event_time,plot_time,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmentation_cv_rmse,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2016-04-01,-32,-32,pre,97.93241494874044,97.6744034956385,0.15478961014461767,1e-4,0.07355310648856965,97.82919310578312,0.2580114531019433,0.10322184295732484,services_volume_index_ma6_v5
2016-05-01,-31,-31,pre,96.80084592302988,97.09317171938238,-0.023393880929108435,0.007847599703514606,0.06678645678326806,97.06977783845328,-0.29232579635250033,-0.26893191542339423,services_volume_index_ma6_v5
2016-06-01,-30,-30,pre,95.55243405562024,96.21480758281952,-0.8714055847919961,0.007847599703514606,0.09337823568386895,95.34340199802752,-0.6623735271992786,0.20903205759272225,services_volume_index_ma6_v5
2016-07-01,-29,-29,pre,95.4465722409067,96.0630282827664,-0.5236283755575811,1e-4,0.06691774148608697,95.53939990720882,-0.616456041859692,-0.0928276663021137,services_volume_index_ma6_v5
2016-08-01,-28,-28,pre,96.2490122611765,96.61260681075592,-0.4224144169559691,1e-4,0.10558390431403217,96.19019239379995,-0.3635945495794175,0.05881986737655609,services_volume_index_ma6_v5
2016-09-01,-27,-27,pre,95.91314534472318,95.35655824848502,0.49049128733445546,1e-4,0.07418840406022235,95.84704953581947,0.5565870962381609,0.06609580890371092,services_volume_index_ma6_v5
2016-10-01,-26,-26,pre,95.74154559142394,94.84872895127108,1.0410415916096178,0.06951927961775606,0.08551463768758126,95.8897705428807,0.8928166401528586,-0.14822495145675418,services_volume_index_ma6_v5
2016-11-01,-25,-25,pre,95.6709912876114,94.29950328835235,1.6168401312303702,1e-4,0.09184267225845617,95.91634341958273,1.3714879992590454,-0.24535213197133032,services_volume_index_ma6_v5
2016-12-01,-24,-24,pre,95.5498338970106,93.52576850580962,1.7348989173982303,1e-4,0.09882311859873134,95.26066742320785,2.0240653912009776,0.2891664738027515,services_volume_index_ma6_v5
2017-01-01,-23,-23,pre,92.6267716616428,92.01479939993145,0.6493726035560885,8.858667904100823e-4,0.10443659993403387,92.66417200348754,0.6119722617113581,-0.03740034184473018,services_volume_index_ma6_v5
2017-02-01,-22,-22,pre,89.5431960635313,90.0502141935198,-0.44761652398912205,0.06951927961775606,0.09063950724652364,89.60259766953068,-0.5070181299885093,-0.05940160599938338,services_volume_index_ma6_v5
2017-03-01,-21,-21,pre,86.82484810144847,89.541691625308,-2.9396506782326197,0.06951927961775606,0.05544784258049971,86.60204094707538,-2.716843523859538,0.2228071543730863,services_volume_index_ma6_v5
2017-04-01,-20,-20,pre,84.33753744692712,88.51568863215263,-4.236689341800912,0.06951927961775606,0.07247822190728577,84.27899929035172,-4.178151185225516,0.05853815657539485,services_volume_index_ma6_v5
2017-05-01,-19,-19,pre,81.77387392059487,87.55610995435093,-5.868681827405083,0.023357214690901212,0.07489296747547312,81.68742812694585,-5.782236033756064,0.08644579364901972,services_volume_index_ma6_v5
2017-06-01,-18,-18,pre,79.55151157077724,86.30757164708594,-6.76740289049648,2.9763514416313193e-4,0.09726877112499259,79.54016875658945,-6.7560600763086995,0.011342814187784711,services_volume_index_ma6_v5
2017-07-01,-17,-17,pre,79.70645495089485,86.85202009634774,-7.052591156768751,1e-4,0.07019000978432238,79.79942893957899,-7.145565145452892,-0.09297398868413609,services_volume_index_ma6_v5
2017-08-01,-16,-16,pre,82.05685725400677,87.63968110681026,-5.276708513246491,1e-4,0.05881825309228029,82.36297259356377,-5.582823852803486,-0.306115339556996,services_volume_index_ma6_v5
2017-09-01,-15,-15,pre,83.70110755327502,87.12578999136306,-3.696243611542976,0.007847599703514606,0.045779133800078274,83.42954637982008,-3.424682438088041,0.27156117345494124,services_volume_index_ma6_v5
2017-10-01,-14,-14,pre,85.13432176505623,86.88137664898417,-1.5266960045010938,0.2069138081114788,0.09710931904590672,85.35468064448308,-1.7470548839279445,-0.22035887942685406,services_volume_index_ma6_v5
2017-11-01,-13,-13,pre,87.05028149574267,86.96806320853239,0.028057425053421618,0.023357214690901212,0.05021649375692409,86.9961206335858,0.08221828721028146,0.05416086215686278,services_volume_index_ma6_v5
2017-12-01,-12,-12,pre,91.57285915869438,87.96049141075905,2.963410541129459,1e-4,0.0910911983979525,90.92390195188851,3.6123677479353375,0.6489572068058749,services_volume_index_ma6_v5
2018-01-01,-11,-11,pre,90.13668762365933,86.81358438338515,3.0216890426471763,1e-4,0.07054627614117796,89.83527342603233,3.323103240274179,0.30141419762699684,services_volume_index_ma6_v5
2018-02-01,-10,-10,pre,88.23026597479588,85.7573346233932,2.4002712410544946,1e-4,0.04831161334882617,88.1576058644477,2.4729313514026785,0.0726601103481812,services_volume_index_ma6_v5
