state_abbrev,monthly_pre_periods,unemployment_rate,formalization_rate,labor_income_real,transfer_dependency_ratio,health_expenditure_real_pc,education_expenditure_real_pc,public_security_expenditure_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,24,0.09285340152742154,0.499128536636886,2711.974022978339,-0.0028985651398721096,263.6258924498386,336.11538377464586,150.9445069727662,TRUE,FALSE,
AL,24,0.11790283280976331,0.5319658864422127,2094.7416604332157,-0.001051387557008099,84.35146881821551,70.44461402713323,87.10146893232263,TRUE,FALSE,
AM,24,0.10357636735473313,0.4336904971456073,2711.133874600278,-0.0019351854922682466,175.42724904563784,153.26844354418793,96.18203272093501,FALSE,TRUE,treated_unit
AP,24,0.1269080756332987,0.5161844160475858,2981.4748179054895,-7.1426268177382e-4,211.34537122684074,301.89839806105834,158.25249330951902,TRUE,FALSE,
BA,24,0.12484812531076817,0.45403635416219834,2138.2031056263377,-0.0015764998312648828,104.55730874511475,84.80319996584358,69.32939308211807,TRUE,FALSE,
CE,24,0.09063552237625118,0.4606626179323543,2126.626038617329,-0.0018650903894102343,89.23208998860859,84.614857482888155,57.2050930564213,TRUE,FALSE,
DF,24,0.10037930910080405,0.7403706454950957,6033.762849578139,-2.4417103512412226e-4,516.2629681604801,571.3423141907799,62.78605128781409,TRUE,FALSE,
ES,24,0.08441035991686767,0.6258032190501498,3095.325530055975,-6.309432122724139e-4,157.6746588611199,85.98573313089477,87.73025064299271,TRUE,FALSE,
GO,24,0.0712864899047448,0.6090602162251891,3104.2362628424494,-0.0018592335785804742,118.80120965687834,155.255363038439,103.92143569911983,TRUE,FALSE,
MA,24,0.09065217945268052,0.35830244746271134,1679.5623060890043,-0.0029304480621446024,69.27710175199161,88.95468051958214,51.05397424592137,TRUE,FALSE,
MG,24,0.08284943478593433,0.6205249795653228,2906.1332549412546,2.279476640187967e-5,82.12834556460254,110.63641106292715,175.52192695947252,TRUE,FALSE,
MS,24,0.05948667906750179,0.6388342603792562,3188.1566417432186,-2.0815405622395537e-4,94.74515964929597,162.24458357840385,119.46287247622197,TRUE,FALSE,
MT,24,0.061529931550741136,0.6197312524272138,3263.540542275444,-8.439788861809754e-4,125.31936214884351,170.47425867805856,135.82351435922962,TRUE,FALSE,
PA,24,0.0865592635105801,0.389737641899096,2184.0706621143054,-0.002006739877926906,77.5968949228489,103.22034303334088,74.36225132139899,TRUE,FALSE,
PB,24,0.09845282507345895,0.4821934040205708,2150.6192136741315,-0.001721651701495499,80.5030871463386,116.93645219585092,70.48540008261475,TRUE,FALSE,
PE,24,0.10546206634028404,0.5244924959715443,2671.618693751007,-6.857242183813568e-4,135.04789828800665,84.45710424597402,66.4252496324624,TRUE,FALSE,
PI,24,0.07899883969584093,0.410771619688672,2001.841655526252,-0.0018898007294138753,113.25497906565228,105.48028437913037,44.52236099488882,TRUE,FALSE,
PR,24,0.05748738449712369,0.6755369768773166,3522.6987005233736,4.310894538590963e-6,96.75568939720966,231.25689244443694,86.07854495338844,TRUE,FALSE,
RJ,24,0.08375587695554955,0.6699225015380058,3516.3152506460483,-6.783995739921077e-4,80.22303539084658,100.64982756580247,147.40340036078425,FALSE,TRUE,coded_rupture_in_main_estimation_window:RJ_2014_01
RN,24,0.12123990357179786,0.5503906180863116,2328.534182120103,-0.0016652462487270177,90.08412325515238,100.44211888241163,66.46845782408451,TRUE,FALSE,
RO,24,0.059703152361762185,0.511002649550332,2618.740356774119,-0.003594402182432105,143.45175001793567,161.61489735395236,127.2185563216563,TRUE,FALSE,
RR,24,0.08039019477512034,0.5705364676892413,3301.5898734126254,-0.0021178875039183447,289.4324557263484,312.924985613908,173.88779738024508,TRUE,FALSE,
RS,24,0.06050793603988365,0.6772044238099086,3546.17486362687,-4.2959605733812543e-4,127.66482463465518,102.3082038481862,78.81677139970749,TRUE,FALSE,
SC,24,0.04170525378248564,0.7312229281270752,3502.767427988816,6.110075407990344e-5,111.98113971337784,122.53767360843919,84.72252630267151,TRUE,FALSE,
SE,24,0.10906911949638375,0.49659350551246384,2500.5129979971834,2.8706703879037007e-4,115.35296648590675,111.34640815262694,100.11440712610616,TRUE,FALSE,
SP,24,0.08995743960277608,0.7276640183229526,4289.625144979397,3.732412101058627e-4,133.71378863249478,192.9072945085044,69.27781379468017,TRUE,FALSE,
TO,24,0.08819743666050357,0.5628553326682864,2609.857020689056,-0.003813604924179479,246.66036009727333,183.18493952971994,134.1474003428114,FALSE,TRUE,coded_rupture_in_main_estimation_window:TO_2018_01
