base_outcome,outcome,moving_average_window,rmspe_pre,rmspe_post,mean_gap_pre,mean_gap_post,post_pre_rmspe_ratio
formal_hiring_balance,formal_hiring_balance,1,1685.1407805859913,3103.560836294783,,,1.8417219926370485
formal_hiring_balance,formal_hiring_balance_ma3,3,979.3700301954907,2414.9872293420253,160.75403732579207,-815.9816957680505,2.465857801325586
formal_hiring_balance,formal_hiring_balance_ma6,6,573.4270060032215,1866.1968936062108,75.7319848945673,-753.9449466951195,3.2544628593856744
retail_volume_index,retail_volume_index,1,5.09572828323612,4.434284960791602,,,0.8701965085892572
retail_volume_index,retail_volume_index_ma3,3,4.321751809858891,3.8797202305522824,-0.6078325602299189,-2.7428920727251715,0.8977193511440813
retail_volume_index,retail_volume_index_ma6,6,3.3879193244453196,3.449716579700767,-0.578657781113794,-2.6793378439249023,1.0182404742667728
services_volume_index,services_volume_index,1,6.19669472701684,7.619967745479259,,,1.229682610030331
services_volume_index,services_volume_index_ma3,3,4.5090836194742066,6.463903492195959,-2.242912100718204,-6.104690329126512,1.4335293016698811
services_volume_index,services_volume_index_ma6,6,3.738239412781445,6.4657370264806495,-1.9407014972607848,-6.228982535280925,1.7296209023888611
