state_abbrev,state_name,macroregion,uf,period_date,year,month,formal_hiring_balance,formal_hiring_balance_construction,retail_volume_index,services_volume_index,quarter,pnadc_population,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,event_time,analysis_period,pre_instability_clean,formal_hiring_balance_per_100k_wap,formal_hiring_balance_construction_per_100k_wap,instability_start_date,removal_date,formal_hiring_balance_per_100k_wap_ma6_v5,formal_hiring_balance_construction_per_100k_wap_ma6_v5,retail_volume_index_ma6_v5,services_volume_index_ma6_v5,plot_time_ma6_v5
AC,Acre,North,12,2015-11-01,2015,11,-754,-279,100,100,4,575000,FALSE,TRUE,FALSE,,-37,pre,TRUE,-131.1304347826087,-48.52173913043478,2018-11-07,2018-12-10,,,,,-37
AC,Acre,North,12,2015-12-01,2015,12,-973,-549,134.48559127821378,106.14320200927054,4,575000,FALSE,TRUE,FALSE,,-36,pre,TRUE,-169.2173913043478,-95.47826086956522,2018-11-07,2018-12-10,,,,,-36
AC,Acre,North,12,2016-01-01,2016,1,-286,-228,98.43620941947049,91.37165573411372,1,574000,FALSE,TRUE,FALSE,,-35,pre,TRUE,-49.825783972125436,-39.721254355400696,2018-11-07,2018-12-10,,,,,-35
AC,Acre,North,12,2016-02-01,2016,2,-531,-11,90.61728223600514,90.64403386823152,1,574000,FALSE,TRUE,FALSE,,-34,pre,TRUE,-92.50871080139373,-1.916376306620209,2018-11-07,2018-12-10,,,,,-34
AC,Acre,North,12,2016-03-01,2016,3,-638,-85,95.7201608940605,99.28475048961778,1,574000,FALSE,TRUE,FALSE,,-33,pre,TRUE,-111.14982578397212,-14.80836236933798,2018-11-07,2018-12-10,,,,,-33
AC,Acre,North,12,2016-04-01,2016,4,-463,12,94.4032873230022,99.56051755746414,2,582000,FALSE,TRUE,FALSE,,-32,pre,TRUE,-79.55326460481099,2.0618556701030926,2018-11-07,2018-12-10,-105.5642352082098,-33.064022893542635,102.27708852512535,97.83402660978295,-32
AC,Acre,North,12,2016-05-01,2016,5,147,15,96.95473308182545,98.30298588605353,2,582000,FALSE,TRUE,FALSE,,-31,pre,TRUE,25.257731958762886,2.577319587628866,2018-11-07,2018-12-10,-79.49954075131454,-24.54751310719869,101.76954403876293,97.55119092412521,-31
AC,Acre,North,12,2016-06-01,2016,6,191,258,91.93415580706345,108.7952891892541,2,582000,FALSE,TRUE,FALSE,,-30,pre,TRUE,32.81786941580756,44.329896907216494,2018-11-07,2018-12-10,-45.82699729795531,-1.246153477735072,94.67763812690454,97.99320545412246,-30
AC,Acre,North,12,2016-07-01,2016,7,765,102,97.8600740172347,97.09683587924873,3,588000,FALSE,TRUE,FALSE,,-29,pre,TRUE,130.10204081632654,17.346938775510203,2018-11-07,2018-12-10,-15.839026499879978,8.26521204408341,94.58161555986524,98.9474021449783,-29
AC,Acre,North,12,2016-08-01,2016,8,-29,-143,92.18107281653465,102.4761813961985,3,588000,FALSE,TRUE,FALSE,,-28,pre,TRUE,-4.931972789115647,-24.31972789115646,2018-11-07,2018-12-10,-1.2429034978336297,4.531320113327369,94.84224732328683,100.9194267329728,-28
