Covariate,Treated,Retail volume,Formal hiring,Construction,ICMS,Tax revenue
ICMS secondary VA pc, 6.188, 7.926, 8.713,10.741, 7.270, 6.080
ICMS tertiary VA pc,18.615,24.852,23.943,29.879,21.282,21.800
ICMS energy VA pc, 4.610, 4.572, 4.360, 5.816, 4.412, 4.489
ICMS fuels VA pc,13.183,13.720,12.210,18.567,12.222,11.984
FPE transfer pc,81.070,92.753,78.737,56.416,77.921,77.252
IOF-state pc, 0.000, 0.003, 0.003, 0.006, 0.002, 0.002
