donor_state,scm_weight,outcome
RR,0.5338889677958096,Retail volume
PA,0.18641984500785327,Retail volume
MG,0.1601221786807876,Retail volume
MS,0.08510176003380375,Retail volume
SC,0.02155167913852577,Retail volume
RR,0.4241978070763556,Formal hiring
PA,0.22123015909485916,Formal hiring
MG,0.160452020624774,Formal hiring
AL,0.09324301531506012,Formal hiring
MS,0.06590509200333404,Formal hiring
MG,0.3590836458690339,Construction
MS,0.31276319783269413,Construction
AP,0.18929173604375923,Construction
RR,0.13886142016800393,Construction
GO,1.6222223815135054e-11,Construction
RR,0.4082204240921707,ICMS
BA,0.22381189440718685,ICMS
PI,0.22126556276298096,ICMS
PR,0.14670211873594055,ICMS
ES,6.768079569581165e-13,ICMS
RR,0.39025498036104506,Tax revenue
PI,0.35538104073146676,Tax revenue
PR,0.19185724253742312,Tax revenue
BA,0.0404580194756945,Tax revenue
MS,0.02204871689348754,Tax revenue
