Channel,Outcome,Mean gap post,RMSPE pre,RMSPE post,Donors,Freq
Household consumption,"Retail volume index (PMC, SA level)", 14.17, 1.36,17.35,23,monthly
Formal labor market,Formal hiring balance per 100k pop,-16.18,40.19,45.30,23,monthly
Formal labor market,Construction hiring balance per 100k pop,-12.17,31.30,26.61,23,monthly
State public finances,"ICMS value added, log real per capita (CONFAZ)", -0.03, 0.06, 0.07,22,monthly
State public finances,"Tax revenue value added, log real per capita (CONFAZ)", -0.05, 0.06, 0.07,23,monthly
