Outcome,Treated,Synthetic,RMSPE pre,Pre periods
Retail volume,43.81,43.82,1.36,36
Formal hiring,18.87,19.85,40.19,32
Construction,3.68,-0.61,31.30,32
ICMS,4.09,4.08,0.06,36
Tax revenue,4.18,4.18,0.06,36
