dropped_donor,period_date,event_time,loo_gap
AM,2007-08-01,-18,-0.040055646529686406
AM,2007-09-01,-17,-0.04881438199233212
AM,2007-10-01,-16,-0.03740602787218794
AM,2007-11-01,-15,-0.05199585148712682
AM,2007-12-01,-14,-0.04337727540296754
AM,2008-01-01,-13,-0.05045473359951469
AM,2008-02-01,-12,-0.04510406485012286
AM,2008-03-01,-11,-0.03603955584204677
AM,2008-04-01,-10,-0.03962421395385185
AM,2008-05-01,-9,-0.027192984933759767
AM,2008-06-01,-8,-0.04018656689661082
AM,2008-07-01,-7,-0.04532760695022997
AM,2008-08-01,-6,-0.05316091401677436
AM,2008-09-01,-5,-0.07365351647200225
AM,2008-10-01,-4,-0.08283764910520297
AM,2008-11-01,-3,-0.09156648908837006
AM,2008-12-01,-2,-0.0812404932841373
AM,2009-01-01,-1,-0.0744129469192325
AM,2009-02-01,0,-0.08306091669103832
AM,2009-03-01,1,-0.06533364914476003
AM,2009-04-01,2,-0.07375663702461299
AM,2009-05-01,3,-0.07263673791164305
AM,2009-06-01,4,-0.08570536345774116
AM,2009-07-01,5,-0.0845764108639715
AM,2009-08-01,6,-0.0787459696170254
AM,2009-09-01,7,-0.09875887502434555
AM,2009-10-01,8,-0.0946640501332654
AM,2009-11-01,9,-0.08787058383132251
AM,2009-12-01,10,-0.09246164333196294
AM,2010-01-01,11,-0.09555127964041876
AM,2010-02-01,12,-0.09681201745948176
AM,2010-03-01,13,-0.08433745375410506
AM,2010-04-01,14,-0.07167584722702358
AM,2010-05-01,15,-0.0816893758041326
AM,2010-06-01,16,-0.07057822238636557
AM,2010-07-01,17,-0.06521722985065104
AM,2010-08-01,18,-0.07141914568661356
AM,2010-09-01,19,-0.07995016013627598
AM,2010-10-01,20,-0.09325044599664167
AM,2010-11-01,21,-0.09243191875285817
AM,2010-12-01,22,-0.12130822129672403
AM,2011-01-01,23,-0.12103412315927731
AP,2006-07-01,-31,-0.02130241629401297
AP,2006-08-01,-30,-0.04025525411068376
AP,2006-09-01,-29,-0.008993883312164996
AP,2006-10-01,-28,-0.024379858958122114
AP,2006-11-01,-27,-0.05197952888779955
AP,2006-12-01,-26,-0.04114585543728655
AP,2007-01-01,-25,-0.05128976769294091
AP,2007-02-01,-24,-0.053458042381127946
AP,2007-03-01,-23,-0.055071742374346755
AP,2007-04-01,-22,-0.05697965880837863
AP,2007-05-01,-21,-0.03543426290682117
AP,2007-06-01,-20,-0.04200509384317197
AP,2007-07-01,-19,-0.03197165487297848
AP,2007-08-01,-18,-0.04061073150699368
AP,2007-09-01,-17,-0.04936651071695408
AP,2007-10-01,-16,-0.03794601266755837
AP,2007-11-01,-15,-0.05249018616183054
AP,2007-12-01,-14,-0.04384113184691785
AP,2008-01-01,-13,-0.050954565395599616
AP,2008-02-01,-12,-0.04563249626132393
AP,2008-03-01,-11,-0.03656668087604409
AP,2008-04-01,-10,-0.04017107603538683
AP,2008-05-01,-9,-0.02776468182381553
AP,2008-06-01,-8,-0.040785132603211594
AP,2008-07-01,-7,-0.045925388419242985
AP,2008-08-01,-6,-0.053794837358331904
AP,2008-09-01,-5,-0.07428533430783713
AP,2008-10-01,-4,-0.08348440885191621
AP,2008-11-01,-3,-0.09221776178773844
AP,2008-12-01,-2,-0.08203502987304123
AP,2009-01-01,-1,-0.075215815369849
AP,2009-02-01,0,-0.08381893772644045
AP,2009-03-01,1,-0.06609675296778939
AP,2009-04-01,2,-0.07452306580275714
AP,2009-05-01,3,-0.07343780341230488
AP,2009-06-01,4,-0.08636054113281233
AP,2009-07-01,5,-0.08521359135308604
AP,2009-08-01,6,-0.07938152296366408
AP,2009-09-01,7,-0.09939745172436965
AP,2009-10-01,8,-0.09527804884086954
AP,2009-11-01,9,-0.08846269815189345
AP,2009-12-01,10,-0.09305121619119294
AP,2010-01-01,11,-0.09618987168800519
AP,2010-02-01,12,-0.09748010688083664
AP,2010-03-01,13,-0.0850126121323056
AP,2010-04-01,14,-0.07237100238234273
AP,2010-05-01,15,-0.0823542988150896
AP,2010-06-01,16,-0.07124425525653155
AP,2010-07-01,17,-0.06583762715906882
AP,2010-08-01,18,-0.07199930227977447
AP,2010-09-01,19,-0.0805231549972385
AP,2010-10-01,20,-0.09383348777554534
AP,2010-11-01,21,-0.09302412038963137
AP,2010-12-01,22,-0.1219089860167859
AP,2011-01-01,23,-0.12164242453572527
BA,2006-07-01,-31,-0.02160194747160471
BA,2006-08-01,-30,-0.04047161520903764
BA,2006-09-01,-29,-0.009306702354474616
BA,2006-10-01,-28,-0.024634153775499712
BA,2006-11-01,-27,-0.05218237667473957
BA,2006-12-01,-26,-0.04140377941917883
BA,2007-01-01,-25,-0.05153633719923434
