donor_state,scm_weight
AC,0.3120721093456948
AP,0.23159316869771918
DF,0.20762167026895972
MS,0.09833753614501427
ES,0.08611559563103216
PB,0.03321122889985817
MA,0.031048691011720697
PR,5.451287863348951e-16
CE,1.3153585030133429e-16
SP,8.103714603093644e-17
RS,6.613332231182063e-17
SE,5.485316758708927e-17
SC,4.942983968088245e-17
BA,4.848541952250284e-17
PI,1.6362251850259825e-17
RO,1.1909150255103189e-17
RJ,4.611421587644652e-18
MT,3.83585418189439e-18
GO,3.2892756189516533e-18
AL,0
MG,0
PA,0
PE,0
RN,0
