donor_state,scm_weight
RO,0.800181562140539
RS,0.0837431203051152
DF,0.07144735115134662
MS,0.01921169546539864
SE,0.01803193820032014
GO,0.007384332737278724
SC,5.121432526329632e-16
ES,1.9834540133639033e-16
RN,1.6172518786053837e-16
MG,1.556634025907215e-16
CE,1.5474383813164206e-16
PR,1.1396057184808565e-16
MT,8.6557358859867e-17
PE,8.549184408412504e-17
AP,6.114332050364097e-17
MA,2.4806849032577067e-17
BA,2.2059283529562303e-17
AC,0
AL,0
PA,0
PB,0
PI,0
RJ,0
SP,0
