predictor,treated_value,synthetic_value,difference,used_in_scaled_fit
lag_2016_01,-84,-34.1303657281611,-49.8696342718389,TRUE
lag_2016_02,-167,40.34128782516359,-207.3412878251636,TRUE
lag_2016_03,53,-707.4136852728252,760.4136852728252,TRUE
lag_2016_04,-11,-884.3109411302624,873.3109411302624,TRUE
lag_2016_05,-54,-1218.945189443135,1164.945189443135,TRUE
lag_2016_06,-286,-1990.658802949732,1704.658802949732,TRUE
lag_2016_07,-292,-2167.331477762347,1875.3314777623468,TRUE
lag_2016_08,-146,-1067.4078354651328,921.4078354651328,TRUE
lag_2016_09,-21,524.9863858909082,-545.9863858909082,TRUE
lag_2016_10,-164,1291.293036086148,-1455.293036086148,TRUE
lag_2016_11,-144,368.3398774298311,-512.3398774298312,TRUE
lag_2016_12,-402,-6832.973087505172,6430.973087505172,TRUE
lag_2017_01,-54,-5475.784305267534,5421.784305267534,TRUE
lag_2017_02,47,-4109.6702142957765,4156.6702142957765,TRUE
lag_2017_03,-384,-5114.639009028591,4730.639009028591,TRUE
lag_2017_04,67,-5262.16105863461,5329.16105863461,TRUE
lag_2017_05,357,-4781.499362881077,5138.499362881077,TRUE
lag_2017_06,870,3442.746165375431,-2572.746165375431,TRUE
lag_2017_07,627,1516.5007912940869,-889.5007912940869,TRUE
lag_2017_08,878,-501.848882865742,1379.8488828657419,TRUE
lag_2017_09,1499,304.2363023373948,1194.7636976626052,TRUE
lag_2017_10,1303,1222.157628386075,80.84237161392502,TRUE
lag_2017_11,1179,940.7804455708068,238.21955442919318,TRUE
lag_2017_12,927,-5612.284274649025,6539.284274649025,TRUE
lag_2018_01,1004,-2396.7785548601546,3400.7785548601546,TRUE
lag_2018_02,540,497.62206673587525,42.37793326412475,TRUE
lag_2018_03,3,-251.20473664686858,254.20473664686858,TRUE
lag_2018_04,64,124.62305056525562,-60.623050565255625,TRUE
lag_2018_05,-437,916.06235362363,-1353.0623536236299,TRUE
lag_2018_06,-478,7357.017625585961,-7835.017625585961,TRUE
lag_2018_07,-685,5778.71267346231,-6463.71267346231,TRUE
lag_2018_08,-501,3628.1524135219306,-4129.152413521931,TRUE
lag_2018_09,126,3262.392166525889,-3136.392166525889,TRUE
lag_2018_10,162,3221.6626125246494,-3059.6626125246494,TRUE
lag_2018_11,744,4744.836000120661,-4000.836000120661,TRUE
mean_formalization_rate_pnadc,0.5626363636363636,0.5851404137985662,-0.022504050162202582,TRUE
mean_retail_volume_index,77.11465942857143,81.52857863053637,-4.413919201964944,TRUE
mean_services_volume_index,82.88908942857142,89.75517278976652,-6.866083361195095,TRUE
mean_unemployment_rate_pnadc,0.10127272727272728,0.1032202889132635,-0.0019475616405362217,TRUE
