donor_state,weight
MS,0.5919031830045332
AP,0.15438815851242366
MA,0.14315908812215575
SC,0.09225311667393421
PA,0.018296453686946004
AC,3.168827318793576e-15
PI,2.1733716239933683e-15
SE,1.172287246696407e-15
DF,5.343313223306029e-16
CE,1.4520387269370328e-16
ES,2.792725423442282e-17
PE,4.417638563600281e-18
SP,2.6156720035544498e-18
AL,0
BA,0
GO,0
MG,0
MT,0
PB,0
PR,0
RJ,0
RN,0
RO,0
RS,0
