period_date,event_time,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2000-06-01,-17,3.7245438586473862,3.7264356310299123,-0.0030686487495373933,0.0026366508987303583,3.7233669822803748,-0.0018917723825260246,0.0011768763670114701,retail_ma6_log
2000-07-01,-16,3.7254340651170255,3.7210894376076022,0.001905585028191752,1e-4,3.722995022635794,0.004344627509423216,0.0024390424812312794,retail_ma6_log
2000-08-01,-15,3.7160987631482794,3.715937484554598,0.003511458084547401,1e-4,3.7194489426391453,1.6127859368131325e-4,-0.003350179490865912,retail_ma6_log
2000-09-01,-14,3.712979198799413,3.706871437502982,0.0024476223194126834,1e-4,3.7093190598223944,0.006107761296431313,0.0036601389770187787,retail_ma6_log
2000-10-01,-13,3.7104770996195353,3.708490308565497,0.0011943184082714253,0.0026366508987303583,3.709684626973768,0.001986791054038317,7.92472645767095e-4,retail_ma6_log
2000-11-01,-12,3.709194058853458,3.709307576165905,-4.6322306893966785e-4,0.007847599703514606,3.7088443530969655,-1.135173124469091e-4,3.497057564927353e-4,retail_ma6_log
2000-12-01,-11,3.705457287950866,3.705432103447955,0.002786492098081202,8.858667904100823e-4,3.7082185955460365,2.5184502910668982e-5,-0.002761307595170681,retail_ma6_log
2001-01-01,-10,3.712132399365637,3.7114843749732853,0.0021506565012067167,2.9763514416313193e-4,3.713635031474492,6.48024392351676e-4,-0.0015026321088549288,retail_ma6_log
2001-02-01,-9,3.723453475975699,3.716362211674707,0.004368419067266287,8.858667904100823e-4,3.720730630741973,0.007091264300992162,0.0027228452337260123,retail_ma6_log
2001-03-01,-8,3.733352671368925,3.722535479913891,0.007064170036715359,1e-4,3.7295996499506066,0.010817191455033903,0.0037530214183183475,retail_ma6_log
2001-04-01,-7,3.7350405997991825,3.730217947040405,0.009243401148909165,8.858667904100823e-4,3.739461348189314,0.004822652758777579,-0.004420748390131735,retail_ma6_log
2001-05-01,-6,3.737738650891557,3.7345645071815787,0.00663959423145144,1e-4,3.74120410141303,0.00317414370997815,-0.00346545052147329,retail_ma6_log
2001-06-01,-5,3.7402399594682634,3.733062994988578,0.0019560119747457404,8.858667904100823e-4,3.735019006963324,0.007176964479685299,0.005220952504939369,retail_ma6_log
2001-07-01,-4,3.735666131089152,3.733713632489242,0.001967545450875653,8.858667904100823e-4,3.735681177940118,0.0019524985999099798,-1.5046850965649838e-5,retail_ma6_log
2001-08-01,-3,3.7362127072930065,3.733213832667817,0.005539435758393161,1e-4,3.73875326842621,0.0029988746251894405,-0.002540561133203667,retail_ma6_log
2001-09-01,-2,3.7346556015798824,3.733059284688634,0.007790004713093789,8.858667904100823e-4,3.740849289401728,0.001596316891248506,-0.006193687821845373,retail_ma6_log
2001-10-01,-1,3.738700959183841,3.729341233409353,0.005079198590835753,1e-4,3.7344204320001886,0.00935972577448796,0.0042805271836523495,retail_ma6_log
2001-11-01,0,3.742427926633866,3.7225143888141234,0.009981923996741766,0.2069138081114788,3.732496312810865,0.019913537819742366,0.009931613823000784,retail_ma6_log
2001-12-01,1,3.7491084859112553,3.726612528135586,0.009186173458938946,0.615848211066026,3.735798701594525,0.02249595777566915,0.013309784316730244,retail_ma6_log
2002-01-01,2,3.770722397419403,3.7312140690448667,0.010977290768319931,0.615848211066026,3.742191359813187,0.039508328374536106,0.028531037606216003,retail_ma6_log
2002-02-01,3,3.7876101461613327,3.7384948894442003,0.010318280126859944,0.615848211066026,3.74881316957106,0.04911525671713246,0.0387969765902727,retail_ma6_log
2002-03-01,4,3.8039197391364614,3.7389473058984377,0.010086636588771446,0.615848211066026,3.749033942487209,0.06497243323802371,0.054885796649252416,retail_ma6_log
2002-04-01,5,3.8217368027607574,3.747655949946278,0.010309396724690759,0.615848211066026,3.757965346670969,0.0740808528144794,0.06377145608978863,retail_ma6_log
2002-05-01,6,3.839554695637121,3.7557629437853812,0.009790209861246575,0.615848211066026,3.765553153646628,0.0837917518517397,0.07400154199049291,retail_ma6_log
2002-06-01,7,3.854153541900915,3.7588895437412884,0.010241844742323768,0.007847599703514606,3.769131388483612,0.0952639981596266,0.08502215341730279,retail_ma6_log
2002-07-01,8,3.8545205893288106,3.7607946787615636,0.008944341617011466,0.007847599703514606,3.7697390203785752,0.093725910567247,0.08478156895023536,retail_ma6_log
2002-08-01,9,3.859164366586705,3.7584824580378666,0.007801243969398461,0.007847599703514606,3.7662837020072653,0.10068190854883818,0.09288066457943955,retail_ma6_log
2002-09-01,10,3.866211877264201,3.7652401273948235,0.009186800735749146,0.007847599703514606,3.7744269281305725,0.10097174986937762,0.09178494913362867,retail_ma6_log
2002-10-01,11,3.865924523384235,3.767694321326506,0.006566057035799986,0.0026366508987303583,3.774260378362306,0.09823020205772925,0.09166414502192932,retail_ma6_log
2002-11-01,12,3.8670134220228554,3.7542129159393114,0.013160209837558815,0.007847599703514606,3.7673731257768703,0.11280050608354397,0.09964029624598503,retail_ma6_log
2002-12-01,13,3.869827146702339,3.7354130414234943,0.013394649188180702,0.007847599703514606,3.748807690611675,0.1344141052788448,0.12101945609066389,retail_ma6_log
2003-01-01,14,3.8855254281478024,3.721940587610808,0.01286907633744252,0.007847599703514606,3.7348096639482504,0.1635848405369944,0.15071576419955202,retail_ma6_log
2003-02-01,15,3.8981510851875343,3.7166238059595362,0.018161994971393248,1.8329807108324339,3.7347858009309296,0.18152727922799805,0.16336528425660468,retail_ma6_log
2003-03-01,16,3.883785751079574,3.694298565148521,0.01734965126102989,0.023357214690901212,3.711648216409551,0.18948718593105296,0.17213753467002313,retail_ma6_log
2003-04-01,17,3.875800204318314,3.6657933982605138,0.016394853751568066,0.007847599703514606,3.682188252012082,0.21000680605780042,0.1936119523062323,retail_ma6_log
2003-05-01,18,3.8640442329220086,3.6538519887188152,0.007576722714992375,0.0026366508987303583,3.6614287114338078,0.21019224420319338,0.20261552148820083,retail_ma6_log
2003-06-01,19,3.859343661928906,3.6626226729924047,0.0105566875328472,0.0026366508987303583,3.673179360525252,0.19672098893650114,0.1861643014036538,retail_ma6_log
2003-07-01,20,3.8380453917335142,3.658788956636794,0.00718813246439478,8.858667904100823e-4,3.665977089101189,0.17925643509672007,0.1720683026323253,retail_ma6_log
2003-08-01,21,3.8230527256478184,3.645756783399656,0.023748500785919648,0.615848211066026,3.6695052841855755,0.17729594224816259,0.15354744146224286,retail_ma6_log
2003-09-01,22,3.8381392129495446,3.6470969197794707,0.005167217851330596,8.858667904100823e-4,3.652264137630801,0.19104229317007393,0.18587507531874348,retail_ma6_log
2003-10-01,23,3.848969056133451,3.655821957467057,0.021211240868461833,0.615848211066026,3.677033198335519,0.1931470986663939,0.1719358577979322,retail_ma6_log
