pseudo_treated_state,outcome,short_label,channel_slug,period_date,analysis_period,augmented_gap
PE,icms_revenue_real_pc_ma4_v5,"ICMS, MA4",public_sector,2019-08-01,post,-1.499614279263767
PE,icms_revenue_real_pc_ma4_v5,"ICMS, MA4",public_sector,2019-10-01,post,-4.159350874986103
PE,icms_revenue_real_pc_ma4_v5,"ICMS, MA4",public_sector,2019-12-01,post,0.1574061029413656
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2015-08-01,pre,-0.13226720490058597
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2015-10-01,pre,-0.22082054341981916
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2015-12-01,pre,-4.513999432848621
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2016-02-01,pre,4.00787483405713
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2016-04-01,pre,2.0526241941951753
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2016-06-01,pre,-0.10318243854681697
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2016-08-01,pre,1.0451384245549349
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2016-10-01,pre,-1.045885565438489
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2016-12-01,pre,-0.4904275367955151
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2017-02-01,pre,-0.5498739139206528
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2017-04-01,pre,-0.6181845217179571
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2017-06-01,pre,1.2937809266348559
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2017-08-01,pre,-0.22570576819261134
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2017-10-01,pre,-0.7154563884456451
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2017-12-01,pre,0.5516062376490822
PE,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4",public_sector,2018-02-01,pre,1.1538720696427909
