donor_state,scm_weight,outcome,short_label
AC,0.5540373568795041,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6"
SC,0.35169611943927465,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6"
AP,0.09426652368121376,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6"
CE,2.3352026640356803e-15,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6"
PR,2.2607874737529e-15,formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring, MA6"
RS,0.652260911154412,formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring, MA6"
AC,0.21637813240627615,formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring, MA6"
MG,0.09748680610734946,formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring, MA6"
MA,0.03387415033195239,formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring, MA6"
SP,2.7283058557342985e-15,formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring, MA6"
PB,0.39076962410314975,retail_volume_index_ma6_v5,"Retail, MA6"
AC,0.3873734770532105,retail_volume_index_ma6_v5,"Retail, MA6"
DF,0.22185689884362708,retail_volume_index_ma6_v5,"Retail, MA6"
BA,4.5053520514643966e-15,retail_volume_index_ma6_v5,"Retail, MA6"
SE,3.0859229088759278e-15,retail_volume_index_ma6_v5,"Retail, MA6"
AC,0.40202005397442986,services_volume_index_ma6_v5,"Services, MA6"
AP,0.31236697210203296,services_volume_index_ma6_v5,"Services, MA6"
SC,0.18286433885253947,services_volume_index_ma6_v5,"Services, MA6"
DF,0.094516525768763,services_volume_index_ma6_v5,"Services, MA6"
MT,0.00823210930223366,services_volume_index_ma6_v5,"Services, MA6"
AC,0.8867656663403128,state_tax_revenue_real_pc_ma4_v5,"Own tax revenue, MA4"
RO,0.1132343336596548,state_tax_revenue_real_pc_ma4_v5,"Own tax revenue, MA4"
RN,1.1839112640032904e-14,state_tax_revenue_real_pc_ma4_v5,"Own tax revenue, MA4"
MG,7.655818235181545e-15,state_tax_revenue_real_pc_ma4_v5,"Own tax revenue, MA4"
PB,5.009293979107796e-15,state_tax_revenue_real_pc_ma4_v5,"Own tax revenue, MA4"
AC,0.8524665442841829,icms_revenue_real_pc_ma4_v5,"ICMS, MA4"
RO,0.13151114932138286,icms_revenue_real_pc_ma4_v5,"ICMS, MA4"
DF,0.01602230639441797,icms_revenue_real_pc_ma4_v5,"ICMS, MA4"
BA,9.964737228569961e-15,icms_revenue_real_pc_ma4_v5,"ICMS, MA4"
PE,3.2959911502898578e-15,icms_revenue_real_pc_ma4_v5,"ICMS, MA4"
AP,0.3238908441554995,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4"
AC,0.30915609126027593,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4"
MT,0.13847340570283886,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4"
RO,0.12240598878594842,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4"
DF,0.07321336541961877,public_investment_liquidated_real_pc_ma4_v5,"Public investment, MA4"
AC,0.8839597575277423,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4"
DF,0.11604024247225556,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4"
SE,1.416894527384623e-15,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4"
RN,3.807212804268351e-16,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4"
PE,2.2709477316959065e-16,liquidated_expenditure_total_real_pc_ma4_v5,"Total expenditure, MA4"
