period,period_date,analysis_period,liquidated_expenditure_total_nominal,liquidated_expenditure_total_real,resident_population_annual,liquidated_expenditure_total_real_pc,liquidated_expenditure_total_real_pc_ma4_V5,original_liquidated_expenditure_total_missing,liquidated_expenditure_total_recovered_from_raw,liquidated_expenditure_total_imputed_adjacent_mean,liquidated_expenditure_total_imputation_method
2015B1,2015-02-01,pre,250258322.71,456930140.93901086,505665,903.6222418775492,,FALSE,FALSE,FALSE,
2015B2,2015-04-01,pre,490884254.28,878359031.0666344,505665,1737.0374280731994,,FALSE,FALSE,FALSE,
2015B3,2015-06-01,pre,503354826.75,887049331.0181694,505665,1754.2233119123716,,FALSE,FALSE,FALSE,
2015B4,2015-08-01,pre,439228899.44000006,767584749.346552,505665,1517.9708885261032,1478.213467597306,FALSE,FALSE,FALSE,
2015B5,2015-10-01,pre,491555727.74,847467980.3285414,505665,1675.9474757567586,1671.2947760671082,FALSE,FALSE,FALSE,
2015B6,2015-12-01,pre,728967186.1799998,1232381671.1297443,505665,2437.150427911254,1846.3230260266216,FALSE,FALSE,FALSE,
2016B1,2016-02-01,pre,360850427.52,597025671.8273726,514229,1161.0112845198785,1698.0200191784986,FALSE,FALSE,FALSE,
2016B2,2016-04-01,pre,738898702.03,1202729717.506678,514229,2338.899045963332,1903.252058537806,TRUE,FALSE,TRUE,linear_interpolation_between_adjacent_observed_bimesters
2016B3,2016-06-01,pre,1116946976.54,1808433763.1859832,514229,3516.786807406784,2363.461891450312,FALSE,FALSE,FALSE,
2016B4,2016-08-01,pre,316783241.6400001,508010575.6256811,514229,987.907285714499,2001.1511059011232,FALSE,FALSE,FALSE,
2016B5,2016-10-01,pre,414104084.3599999,661827172.3059698,514229,1287.0280989714113,2032.6553095140064,FALSE,FALSE,FALSE,
2016B6,2016-12-01,pre,887858044.5500002,1412201271.7770822,514229,2746.2497676659273,2134.4929899396557,FALSE,FALSE,FALSE,
2017B1,2017-02-01,pre,360174093.42,568836287.9962094,522636,1088.3985948082593,1527.3959367900245,FALSE,FALSE,FALSE,
2017B2,2017-04-01,pre,498699313.44,784552540.3294749,522636,1501.1452336415305,1655.705423771782,FALSE,FALSE,FALSE,
2017B3,2017-06-01,pre,558084196.5400001,877280819.2620711,522636,1678.5694427136116,1753.5907597073322,FALSE,FALSE,FALSE,
2017B4,2017-08-01,pre,525131970.01,821943575.1129205,522636,1572.688400938551,1460.200418025488,FALSE,FALSE,FALSE,
2017B5,2017-10-01,pre,524020866.39999986,815469329.1784635,522636,1560.300723980865,1578.1759503186397,FALSE,FALSE,FALSE,
2017B6,2017-12-01,pre,1089381251.33,1683129330.7410817,522636,3220.461909897293,2008.00511938258,FALSE,FALSE,FALSE,
2018B1,2018-02-01,pre,312519082.81,479919757.35211015,576568,832.3732107090754,1796.456061381446,FALSE,FALSE,FALSE,
2018B2,2018-04-01,pre,529277371.97,810271704.1354814,576568,1405.3358912313574,1754.6179339546477,FALSE,FALSE,FALSE,
2018B3,2018-06-01,pre,527090066.26,793707072.9903545,576568,1376.6061817345994,1708.6942983930812,FALSE,FALSE,FALSE,
2018B4,2018-08-01,pre,643435548.44,966584859.1037384,576568,1676.4455521356344,1322.6902089526666,FALSE,FALSE,FALSE,
2018B5,2018-10-01,pre,436050452.59000015,648996800.827318,576568,1125.6205700408589,1396.0020487856125,FALSE,FALSE,FALSE,
2018B6,2018-12-01,crisis,566787892.9199996,844089598.2109356,576568,1463.9896737434883,1463.9896737434883,FALSE,FALSE,FALSE,
2019B1,2019-02-01,post,255005590.17,376935551.45418113,605761,622.2512698146318,622.2512698146318,TRUE,TRUE,FALSE,
2019B2,2019-04-01,post,357406523.0200001,521394765.3816595,605761,860.7268632045634,741.4890665095976,FALSE,FALSE,FALSE,
2019B3,2019-06-01,post,556690303.8299999,810980185.1496036,605761,1338.7791309602362,940.5857546598104,FALSE,FALSE,FALSE,
2019B4,2019-08-01,post,743481159.3900001,1079851890.9489777,605761,1782.6368666008173,1151.0985326450625,FALSE,FALSE,FALSE,
2019B5,2019-10-01,post,511971152.2000001,743154391.1155207,605761,1226.8112194669527,1302.2385200581425,FALSE,FALSE,FALSE,
2019B6,2019-12-01,post,977552231.56,1395719135.4975052,605761,2304.0755933404516,1663.0757025921143,FALSE,FALSE,FALSE,

