Covariate,Roraima,"Formal hiring, MA6","Construction hiring, MA6"
Unemployment rate,    0.100,    0.109,    0.097
Formalization rate,    0.563,    0.575,    0.615
"Labor income (real, R$)","3,218.083","2,994.834","3,273.097"
Transfer dependency ratio,    0.129,    0.080,    0.051
"Health expenditure pc (real, R$)",  283.574,  198.312,  147.561
"Education expenditure pc (real, R$)",  312.065,  257.275,  149.963
"Public security expenditure pc (real, R$)",  174.954,  127.519,  105.877
