outcome,label,channel,subblock,family,specification,preferred,mean_gap_crisis,mean_gap_post,mean_gap_pre,augmented_rmspe_pre,augmented_rmspe_post,donor_count
formal_hiring_balance_per_100k_wap,Formal hiring balance per 100k working-age population,Formal labor market,,monthly,raw,FALSE,31.06595974303808,16.890140300849037,8.569063036794567,39.161307137742874,85.12489605713004,24
formal_hiring_balance_construction_per_100k_wap,Construction hiring balance per 100k working-age population,Formal labor market,,monthly,raw,FALSE,-51.645254204269456,6.218246657451815,-3.4085411920856155,22.64318709171192,33.47208548143075,24
retail_volume_index,Retail volume index,Household consumption,,monthly,raw,FALSE,10.160810436072154,8.674112849310449,0.3255277981480493,3.735446227283817,9.608012498446271,24
services_volume_index,Services volume index,Household consumption,,monthly,raw,FALSE,-7.493098699107151,3.121525228273003,-0.1077652595437676,3.2845990009668262,5.48934895656485,24
formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring balance per 100k working-age population, MA6 V5",Formal labor market,,monthly,ma6_v5,TRUE,,21.74111208470955,0.42203880307085695,6.051580305536274,41.714430305520914,24
formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring balance per 100k working-age population, MA6 V5",Formal labor market,,monthly,ma6_v5,TRUE,,2.356368179820492,-0.09300242341731405,3.623136421573252,13.22640830336114,24
retail_volume_index_ma6_v5,"Retail volume index, MA6 V5",Household consumption,,monthly,ma6_v5,TRUE,,7.906058775465892,-0.01051794185309074,0.589042222615043,8.098311401837249,24
services_volume_index_ma6_v5,"Services volume index, MA6 V5",Household consumption,,monthly,ma6_v5,TRUE,,3.5415207820055405,0.00875200297745859,0.3753293470448396,3.7015092718396345,24
formal_hiring_balance_per_100k_wap_ma6_v5,"Formal hiring balance per 100k working-age population, MA6 V5",Formal labor market,,monthly,ma6_v5_instability,TRUE,,21.74732690773416,0.42344200703845,5.720492512377,41.692958605128446,24
formal_hiring_balance_construction_per_100k_wap_ma6_v5,"Construction hiring balance per 100k working-age population, MA6 V5",Formal labor market,,monthly,ma6_v5_instability,TRUE,,3.596690471300263,0.1554416752367552,3.3516500165632825,14.168177896386004,24
retail_volume_index_ma6_v5,"Retail volume index, MA6 V5",Household consumption,,monthly,ma6_v5_instability,TRUE,,7.794532664810412,0.1045478444258534,0.9593924105089084,7.982903275414025,24
services_volume_index_ma6_v5,"Services volume index, MA6 V5",Household consumption,,monthly,ma6_v5_instability,TRUE,,3.423395262238518,0.03017430480525762,0.3734202249619355,3.6340368828773486,24
state_tax_revenue_real_pc,"Own tax revenue, real per capita",State public finances,revenues,bimonthly_fiscal,raw,FALSE,-288.1080578545311,-27.1449398639166,-3.135240041844574,19.23790637809517,66.91705587413873,24
icms_revenue_real_pc,"ICMS revenue, real per capita",State public finances,revenues,bimonthly_fiscal,raw,FALSE,-223.31882296078305,122.98779412256594,4.362311744142761,32.383246995461995,413.6886323934896,24
public_investment_liquidated_real_pc,"Public investment, liquidated, real per capita",State public finances,expenditures,bimonthly_fiscal,raw,FALSE,-92.20913808055276,-1.8964154415777776,-1.0658658058362014,16.778768641101554,28.588610528348937,24
liquidated_expenditure_total_real_pc,"Total liquidated expenditure, real per capita",State public finances,expenditures,bimonthly_fiscal,raw,FALSE,-1023.5392369469928,-115.581914811951,7.747718995289584,481.6491867749162,357.0705140923998,24
state_tax_revenue_real_pc_ma4_v5,"Own tax revenue, real per capita, MA4 V5",State public finances,revenues,bimonthly_fiscal,ma4_v5,TRUE,,-55.46891397855168,0.00798002073158272,3.5949383662016334,57.430597505884826,24
icms_revenue_real_pc_ma4_v5,"ICMS revenue, real per capita, MA4 V5",State public finances,revenues,bimonthly_fiscal,ma4_v5,TRUE,,31.64286274577707,0.463133618809006,8.545167319490558,126.70886500790544,24
public_investment_liquidated_real_pc_ma4_v5,"Public investment, liquidated, real per capita, MA4 V5",State public finances,expenditures,bimonthly_fiscal,ma4_v5,TRUE,,-9.429589113101189,-0.18791392882630512,3.3399782582881787,15.130511982805135,24
liquidated_expenditure_total_real_pc_ma4_v5,"Total liquidated expenditure, real per capita, MA4 V5",State public finances,expenditures,bimonthly_fiscal,ma4_v5,TRUE,,-183.5963946918067,12.657306184082575,98.48348583542273,184.9322284419013,24
