competencia,period_date,year,month,state_abbrev,state_name,macroregion,fpe,fpm,fpm_capitais,ipi_exp,iof_est,iof_mun,fex_est,fex_mun,itr,lc87_est,lc87_mun,lc176_est,lc176_mun,cide_est,cide_mun,tcp
199101,1991-01-01,1991,1,AC,Acre,North,1900781748.49,325962690.12,190153668.4,1298126.23,0,0,,,142674.13,,,,,,,
199101,1991-01-01,1991,1,AL,Alagoas,Northeast,2311441728.12,1328998904.55,211281189.71,143582616.4,0,0,,,96288.9,,,,,,,
199101,1991-01-01,1991,1,AM,Amazonas,North,1550406720.55,785616747.41,142615251.3,116018264.97,189519.3,442211.69,,,3923968.62,,,,,,,
199101,1991-01-01,1991,1,AP,Amapa,North,1895781153.42,240906815.56,169026147.09,3757101.45,757585.86,1767700.35,,,548585.56,,,,,,,
199101,1991-01-01,1991,1,BA,Bahia,Northeast,5220732378.01,5366601976.22,422568356.08,588414840.27,396266.54,924621.94,,,15699349.68,,,,,,,
199101,1991-01-01,1991,1,CE,Ceara,Northeast,4076540663.7,3126984313.92,660260441.59,121050242.28,0,0,,,2269935.79,,,,,,,
199101,1991-01-01,1991,1,DF,Distrito Federal,Center-West,383490079.75,132054478.98,132054478.98,2032347.93,0,0,,,42838.93,,,,,,,
199101,1991-01-01,1991,1,ES,Espirito Santo,Southeast,833432511.77,1073250588.01,105643583.19,589562562.29,0,0,,,38116273.43,,,,,,,
199101,1991-01-01,1991,1,GO,Goias,Center-West,1579687982.8,2164419224.94,190153668.4,78385842.8,1829858.65,4269670.13,,,50127230.95,,,,,,,
199101,1991-01-01,1991,1,MA,Maranhao,Northeast,4010588370.94,2479326515.23,330127232.45,258643055.77,248954.08,580892.85,,,9377178.13,,,,,,,
199101,1991-01-01,1991,1,MG,Minas Gerais,Southeast,2475016749.1,7877743481.09,316924772.88,1985714055.29,6497543.93,15160935.8,,,229220683.44,,,,,,,
199101,1991-01-01,1991,1,MS,Mato Grosso do Sul,Center-West,740088070.44,900102693.35,105643583.19,70170458.16,0,0,,,11935975.14,,,,,,,
199101,1991-01-01,1991,1,MT,Mato Grosso,Center-West,1282319262.6,1105267359.31,126771104.5,38788710.1,12337146.11,28786674.12,,,9171254.37,,,,,,,
199101,1991-01-01,1991,1,PA,Para,North,3395959674.6,2154590716.3,295797251.6,417989189.64,7776818.8,18145910.47,,,17373589.02,,,,,,,
199101,1991-01-01,1991,1,PB,Paraiba,Northeast,2660816637.05,1962727001.79,264102981.3,36377793.02,12948.98,30214.29,,,11535.5,,,,,,,
199101,1991-01-01,1991,1,PE,Pernambuco,Northeast,3833900678.44,3095497315.83,422568356.08,269411195.77,4114.82,9601.25,,,1051715.11,,,,,,,
199101,1991-01-01,1991,1,PI,Piaui,Northeast,2401063504.22,1504199426.95,264102981.3,22060358.55,0,0,,,3217605.93,,,,,,,
199101,1991-01-01,1991,1,PR,Parana,South,1601968411.95,4065148337.72,184870293.9,935857894.98,483592.77,1128383.13,,,106787226.4,,,,,,,
199101,1991-01-01,1991,1,RJ,Rio de Janeiro,Southeast,848823232.16,1817074409.91,184870293.9,772186750.29,265919.17,620478.07,,,10637177.88,,,,,,,
199101,1991-01-01,1991,1,RN,Rio Grande do Norte,Northeast,2321331793.94,1481623877.11,190153668.4,39562757.77,0,0,,,18816.77,,,,,,,
199101,1991-01-01,1991,1,RO,Rondonia,North,1564408386.74,512200206.16,126771104.5,5808138.66,3546331.89,8274774.39,,,1022265.75,,,,,,,
199101,1991-01-01,1991,1,RR,Roraima,North,1378330687.95,170715392.53,126771104.5,137833.43,1210722.1,2825018.24,,,1198869.61,,,,,,,
199101,1991-01-01,1991,1,RS,Rio Grande do Sul,South,1308377919.12,4075481760.9,147898625.8,1663617223.75,15924.37,37156.86,,,114716414.13,,,,,,,
199101,1991-01-01,1991,1,SC,Santa Catarina,South,711084619.04,2334574597.23,95076834.21,715735892.13,5900548.5,13767946.5,,,62061501.56,,,,,,,
199101,1991-01-01,1991,1,SE,Sergipe,Northeast,2308774744.08,836858307.21,147898625.8,23493759.56,0,0,,,6988359.37,,,,,,,
199101,1991-01-01,1991,1,SP,Sao Paulo,Southeast,555621674.53,7915674048.49,158459398.11,2224914252.87,4943122.18,11533951.75,,,180916329.22,,,,,,,
199101,1991-01-01,1991,1,TO,Tocantins,North,2411398067.37,0,264102981.37,0,6947.22,16210.18,,,6452687.21,,,,,,,
199102,1991-02-01,1991,2,AC,Acre,North,2231615205.66,382457749.45,223110638.96,1604401.8,0,0,,,3391071.84,,,,,,,
199102,1991-02-01,1991,2,AL,Alagoas,Northeast,2713751071.93,1559337757.02,247899930.79,177459021.17,0,0,,,542755.88,,,,,,,
199102,1991-02-01,1991,2,AM,Amazonas,North,1820256962.85,921777928.01,167332979.22,143391228.37,0,0,,,6237190.8,,,,,,,
199102,1991-02-01,1991,2,AP,Amapa,North,2225744250.72,282660197.92,198321347.12,4643539.47,0,0,,,1525406.87,,,,,,,
199102,1991-02-01,1991,2,BA,Bahia,Northeast,6129407423.4,6296728354.98,495806874.1,727243479.88,0,0,,,5256401.54,,,,,,,
199102,1991-02-01,1991,2,CE,Ceara,Northeast,4786067700.22,3668945616.87,774695172.78,149610433.67,0,0,,,3746776.54,,,,,,,
199102,1991-02-01,1991,2,DF,Distrito Federal,Center-West,450237011.09,154941839.57,154941839.57,2511853.34,0,0,,,1976.21,,,,,,,
199102,1991-02-01,1991,2,ES,Espirito Santo,Southeast,978492490.06,1259263764.82,123953471.66,728661991.58,0,0,,,16659684.38,,,,,,,
199102,1991-02-01,1991,2,GO,Goias,Center-West,1854634665.66,2539551092.32,223110638.96,96879937.73,0,0,,,108571485.51,,,,,,,
199102,1991-02-01,1991,2,MA,Maranhao,Northeast,4708636327.84,2909037346.61,387344080.13,319666437.76,0,0,,,822735.49,,,,,,,
199102,1991-02-01,1991,2,MG,Minas Gerais,Southeast,2905796531.34,9243094791.49,371853402.44,2454216822.4,0,0,,,679025.77,,,,,,,
199102,1991-02-01,1991,2,MS,Mato Grosso do Sul,Center-West,868901331.25,1056106298.95,123953471.66,86726242.58,0,0,,,40314821.02,,,,,,,
199102,1991-02-01,1991,2,MT,Mato Grosso,Center-West,1505508545.21,1296829605.37,148742763.48,47940389.3,0,0,,,85662141.96,,,,,,,
199102,1991-02-01,1991,2,PA,Para,North,3987030732.84,2528019130.34,347064110.62,516608168.27,0,0,,,23797307.04,,,,,,,
199102,1991-02-01,1991,2,PB,Paraiba,Northeast,3123935123.76,2302902064.55,309876666.61,44960648.46,0,0,,,1929.24,,,,,,,
199102,1991-02-01,1991,2,PE,Pernambuco,Northeast,4501195919.96,3632001369.8,495806874.1,332975176.88,0,0,,,17604271.94,,,,,,,
199102,1991-02-01,1991,2,PI,Piaui,Northeast,2818971631.04,1764903607.2,309876666.61,27265206.15,0,0,,,3794656.28,,,,,,,
199102,1991-02-01,1991,2,PR,Parana,South,1880793031.56,4769709944.54,216911562.87,1156661092.83,0,0,,,4292369.77,,,,,,,
199102,1991-02-01,1991,2,RJ,Rio de Janeiro,Southeast,996561984.71,2125228771.06,216911562.87,954373922.86,0,0,,,20611891.05,,,,,,,
199102,1991-02-01,1991,2,RN,Rio Grande do Norte,Northeast,2725362516.15,1738415317.51,223110638.96,48897063.19,0,0,,,0,,,,,,,
199102,1991-02-01,1991,2,RO,Rondonia,North,1836695636.68,600973497.96,148742763.48,7178491.56,0,0,,,19855664.56,,,,,,,
199102,1991-02-01,1991,2,RR,Roraima,North,1618230880.06,200303368.46,148742763.48,170353.4,0,0,,,439377.68,,,,,,,
199102,1991-02-01,1991,2,RS,Rio Grande do Sul,South,1536102743.74,4781834327.54,173532055.31,2056125536.15,0,0,,,1321397.74,,,,,,,
199102,1991-02-01,1991,2,SC,Santa Catarina,South,834849792.52,2739197375.91,111555319.47,884604237.05,0,0,,,622232.98,,,,,,,
