transfer_sheet,transfer_scope,transfer_variable,competencia,period_date,year,month,state_abbrev,state_name,macroregion,state_name_raw,transfer_value_nominal
FPE,states_direct,fpe,199102,1991-02-01,1991,2,AL,Alagoas,Northeast,Alagoas,2713751071.93
FPE,states_direct,fpe,199102,1991-02-01,1991,2,AM,Amazonas,North,Amazonas,1820256962.85
FPE,states_direct,fpe,199102,1991-02-01,1991,2,AP,Amapa,North,Amapá,2225744250.72
FPE,states_direct,fpe,199102,1991-02-01,1991,2,BA,Bahia,Northeast,Bahia,6129407423.4
FPE,states_direct,fpe,199102,1991-02-01,1991,2,CE,Ceara,Northeast,Ceará,4786067700.22
FPE,states_direct,fpe,199102,1991-02-01,1991,2,DF,Distrito Federal,Center-West,Distrito Federal,450237011.09
FPE,states_direct,fpe,199102,1991-02-01,1991,2,ES,Espirito Santo,Southeast,Espírito Santo,978492490.06
FPE,states_direct,fpe,199102,1991-02-01,1991,2,GO,Goias,Center-West,Goiás,1854634665.66
FPE,states_direct,fpe,199102,1991-02-01,1991,2,MA,Maranhao,Northeast,Maranhão,4708636327.84
FPE,states_direct,fpe,199102,1991-02-01,1991,2,MG,Minas Gerais,Southeast,Minas Gerais,2905796531.34
FPE,states_direct,fpe,199102,1991-02-01,1991,2,MS,Mato Grosso do Sul,Center-West,Mato Grosso do Sul,868901331.25
FPE,states_direct,fpe,199102,1991-02-01,1991,2,MT,Mato Grosso,Center-West,Mato Grosso,1505508545.21
FPE,states_direct,fpe,199102,1991-02-01,1991,2,PA,Para,North,Pará,3987030732.84
FPE,states_direct,fpe,199102,1991-02-01,1991,2,PB,Paraiba,Northeast,Paraíba,3123935123.76
FPE,states_direct,fpe,199102,1991-02-01,1991,2,PE,Pernambuco,Northeast,Pernambuco,4501195919.96
FPE,states_direct,fpe,199102,1991-02-01,1991,2,PI,Piaui,Northeast,Piauí,2818971631.04
FPE,states_direct,fpe,199102,1991-02-01,1991,2,PR,Parana,South,Paraná,1880793031.56
FPE,states_direct,fpe,199102,1991-02-01,1991,2,RJ,Rio de Janeiro,Southeast,Rio de Janeiro,996561984.71
FPE,states_direct,fpe,199102,1991-02-01,1991,2,RN,Rio Grande do Norte,Northeast,Rio Grande do Norte,2725362516.15
FPE,states_direct,fpe,199102,1991-02-01,1991,2,RO,Rondonia,North,Rondônia,1836695636.68
