state_abbrev,state_name,year,population,gdp_per_capita_real,formal_employment_stock,formal_hiring_balance,state_tax_revenue_real,total_revenue_real,investment_expenditure_real,federal_transfers_real,homicide_rate,bolsa_familia_beneficiaries,sus_primary_care_coverage,treated_case,post_treatment,treatment_year,event_id
AC,Acre,2001,574355,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2002,586942,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2003,600595,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2004,630328,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2005,669736,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2006,686652,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2007,655385,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2008,680075,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2009,691132,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2010,733559,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2011,746386,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2012,758786,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2013,776463,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2014,790101,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2015,803513,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2016,816687,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2017,829619,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2018,869265,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2019,881935,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2020,894470,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2021,906876,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2022,830018,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2023,855324.5,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2024,880631,,,,,,,,,,,FALSE,FALSE,,
AC,Acre,2025,884372,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2001,2856629,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2002,2887535,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2003,2917664,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2004,2980910,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2005,3015912,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2006,3050652,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2007,3037103,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2008,3127560,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2009,3156108,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2010,3120494,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2011,3143384,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2012,3165472,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2013,3300935,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2014,3321730,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2015,3340932,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2016,3358963,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2017,3375823,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2018,3322820,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2019,3337357,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2020,3351543,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2021,3365351,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2022,3127683,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2023,3173893.5,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2024,3220104,,,,,,,,,,,FALSE,FALSE,,
AL,Alagoas,2025,3220848,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2001,2900240,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2002,2961801,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2003,3031068,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2004,3138726,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2005,3232330,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2006,3311026,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2007,3221939,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2008,3341094,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2009,3393369,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2010,3483985,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2011,3538387,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2012,3590985,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2013,3807921,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2014,3873743,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2015,3938336,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2016,4001667,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2017,4063614,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2018,4080611,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2019,4144597,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2020,4207714,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2021,4269995,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2022,3941613,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2023,4111411,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2024,4281209,,,,,,,,,,,FALSE,FALSE,,
AM,Amazonas,2025,4321616,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2001,498735,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2002,516511,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2003,534835,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2004,547400,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2005,594587,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2006,615715,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2007,587311,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2008,613166,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2009,626609,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2010,669526,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2011,684309,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2012,698602,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2013,734996,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2014,750912,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2015,766679,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2016,782295,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2017,797722,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2018,829494,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2019,845731,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2020,861773,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2021,877613,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2022,733759,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2023,768298,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2024,802837,,,,,,,,,,,FALSE,FALSE,,
AP,Amapa,2025,806517,,,,,,,,,,,FALSE,FALSE,,
