competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance,source_regime,source_component,post_2020_caged_dummy,caged_method_break_dummy,series_version
200704,2007-04-01,2007,4,29,BA,Bahia,Northeast,10592,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,31,MG,Minas Gerais,Southeast,38773,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,32,ES,Espirito Santo,Southeast,10793,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,33,RJ,Rio de Janeiro,Southeast,19586,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,35,SP,Sao Paulo,Southeast,129420,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,41,PR,Parana,South,27478,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,42,SC,Santa Catarina,South,9759,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,43,RS,Rio Grande do Sul,South,15008,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,50,MS,Mato Grosso do Sul,Center-West,4513,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,51,MT,Mato Grosso,Center-West,5086,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,52,GO,Goias,Center-West,7329,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200704,2007-04-01,2007,4,53,DF,Distrito Federal,Center-West,3847,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,11,RO,Rondonia,North,1514,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,12,AC,Acre,North,1,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,13,AM,Amazonas,North,2109,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,14,RR,Roraima,North,405,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,15,PA,Para,North,2397,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,16,AP,Amapa,North,249,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,17,TO,Tocantins,North,1234,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,21,MA,Maranhao,Northeast,2309,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,22,PI,Piaui,Northeast,1126,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,23,CE,Ceara,Northeast,2836,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,24,RN,Rio Grande do Norte,Northeast,959,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,25,PB,Paraiba,Northeast,1446,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,26,PE,Pernambuco,Northeast,11356,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,27,AL,Alagoas,Northeast,479,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,28,SE,Sergipe,Northeast,76,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,29,BA,Bahia,Northeast,9326,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,31,MG,Minas Gerais,Southeast,52989,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,32,ES,Espirito Santo,Southeast,5206,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,33,RJ,Rio de Janeiro,Southeast,11150,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,35,SP,Sao Paulo,Southeast,81467,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,41,PR,Parana,South,16360,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,42,SC,Santa Catarina,South,-120,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,43,RS,Rio Grande do Sul,South,-3382,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,50,MS,Mato Grosso do Sul,Center-West,-628,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,51,MT,Mato Grosso,Center-West,2151,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,52,GO,Goias,Center-West,8617,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200705,2007-05-01,2007,5,53,DF,Distrito Federal,Center-West,585,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,11,RO,Rondonia,North,1357,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,12,AC,Acre,North,454,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,13,AM,Amazonas,North,2342,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,14,RR,Roraima,North,-89,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,15,PA,Para,North,2910,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,16,AP,Amapa,North,-13,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,17,TO,Tocantins,North,1173,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,21,MA,Maranhao,Northeast,2470,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,22,PI,Piaui,Northeast,600,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,23,CE,Ceara,Northeast,2667,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,24,RN,Rio Grande do Norte,Northeast,2439,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,25,PB,Paraiba,Northeast,305,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,26,PE,Pernambuco,Northeast,8854,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,27,AL,Alagoas,Northeast,1347,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,28,SE,Sergipe,Northeast,1368,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,29,BA,Bahia,Northeast,6678,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,31,MG,Minas Gerais,Southeast,46080,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,32,ES,Espirito Santo,Southeast,-3276,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200706,2007-06-01,2007,6,33,RJ,Rio de Janeiro,Southeast,12987,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
