state_abbrev,period_date,formal_employment_stock,construction_employment_stock,year,month,stock_anchor_date,stock_source
AC,2007-01-01,79589,10042,2007,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2007-02-01,79539,10040,2007,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2007-03-01,79826,10032,2007,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2007-04-01,80223,10032,2007,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2007-05-01,80224,10040,2007,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2007-06-01,80678,10036,2007,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2007-07-01,80686,10033,2007,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2007-08-01,80633,10029,2007,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2007-09-01,80836,10008,2007,9,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2007-10-01,80607,10002,2007,10,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2007-11-01,80459,10013,2007,11,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2007-12-01,79812,9990,2007,12,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2008-01-01,79402,10199,2008,1,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2008-02-01,79529,10089,2008,2,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2008-03-01,79606,9998,2008,3,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2008-04-01,79788,10143,2008,4,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2008-05-01,80604,10443,2008,5,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2008-06-01,81241,10674,2008,6,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2008-07-01,81584,10809,2008,7,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
AC,2008-08-01,81930,10882,2008,8,2020-01-01,novo_caged_jan2020_anchor + stitched CAGED flows (back/forward)
