competencia,year,month,uf,formal_hiring_balance,source_series,source_archive,source_regime,source_component,series_version,period_date,post_2020_caged_dummy,caged_method_break_dummy,state_abbrev,state_name,macroregion,is_identified_uf,include_in_panel,uf_mapping_status
200701,2007,1,51,6620,old_caged_complete_ftp_integrity_ok,CAGEDEST_012007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-01-01,0,0,MT,Mato Grosso,Center-West,TRUE,TRUE,mapped
200701,2007,1,52,10292,old_caged_complete_ftp_integrity_ok,CAGEDEST_012007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-01-01,0,0,GO,Goias,Center-West,TRUE,TRUE,mapped
200701,2007,1,53,276,old_caged_complete_ftp_integrity_ok,CAGEDEST_012007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-01-01,0,0,DF,Distrito Federal,Center-West,TRUE,TRUE,mapped
200702,2007,2,11,847,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,RO,Rondonia,North,TRUE,TRUE,mapped
200702,2007,2,12,-50,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,AC,Acre,North,TRUE,TRUE,mapped
200702,2007,2,13,724,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,AM,Amazonas,North,TRUE,TRUE,mapped
200702,2007,2,14,128,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,RR,Roraima,North,TRUE,TRUE,mapped
200702,2007,2,15,1833,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,PA,Para,North,TRUE,TRUE,mapped
200702,2007,2,16,330,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,AP,Amapa,North,TRUE,TRUE,mapped
200702,2007,2,17,945,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,TO,Tocantins,North,TRUE,TRUE,mapped
200702,2007,2,21,1893,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,MA,Maranhao,Northeast,TRUE,TRUE,mapped
200702,2007,2,22,-377,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,PI,Piaui,Northeast,TRUE,TRUE,mapped
200702,2007,2,23,-589,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,CE,Ceara,Northeast,TRUE,TRUE,mapped
200702,2007,2,24,-1631,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,RN,Rio Grande do Norte,Northeast,TRUE,TRUE,mapped
200702,2007,2,25,-1336,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,PB,Paraiba,Northeast,TRUE,TRUE,mapped
200702,2007,2,26,-16188,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,PE,Pernambuco,Northeast,TRUE,TRUE,mapped
200702,2007,2,27,-10897,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,AL,Alagoas,Northeast,TRUE,TRUE,mapped
200702,2007,2,28,713,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,SE,Sergipe,Northeast,TRUE,TRUE,mapped
200702,2007,2,29,1606,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,BA,Bahia,Northeast,TRUE,TRUE,mapped
200702,2007,2,31,17452,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,MG,Minas Gerais,Southeast,TRUE,TRUE,mapped
200702,2007,2,32,224,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,ES,Espirito Santo,Southeast,TRUE,TRUE,mapped
200702,2007,2,33,9220,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,RJ,Rio de Janeiro,Southeast,TRUE,TRUE,mapped
200702,2007,2,35,83410,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,SP,Sao Paulo,Southeast,TRUE,TRUE,mapped
200702,2007,2,41,13957,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,PR,Parana,South,TRUE,TRUE,mapped
200702,2007,2,42,14683,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,SC,Santa Catarina,South,TRUE,TRUE,mapped
200702,2007,2,43,13643,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,RS,Rio Grande do Sul,South,TRUE,TRUE,mapped
200702,2007,2,50,2635,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,MS,Mato Grosso do Sul,Center-West,TRUE,TRUE,mapped
200702,2007,2,51,8260,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,MT,Mato Grosso,Center-West,TRUE,TRUE,mapped
200702,2007,2,52,8015,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,GO,Goias,Center-West,TRUE,TRUE,mapped
200702,2007,2,53,-1431,old_caged_complete_ftp_integrity_ok,CAGEDEST_022007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-02-01,0,0,DF,Distrito Federal,Center-West,TRUE,TRUE,mapped
200703,2007,3,11,1168,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,RO,Rondonia,North,TRUE,TRUE,mapped
200703,2007,3,12,287,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,AC,Acre,North,TRUE,TRUE,mapped
200703,2007,3,13,2659,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,AM,Amazonas,North,TRUE,TRUE,mapped
200703,2007,3,14,83,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,RR,Roraima,North,TRUE,TRUE,mapped
200703,2007,3,15,-369,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,PA,Para,North,TRUE,TRUE,mapped
200703,2007,3,16,72,old_caged_complete_ftp_integrity_ok,CAGEDEST_032007.7z,old_caged,complete,old_complete_novo_mov_for_exc_v1,2007-03-01,0,0,AP,Amapa,North,TRUE,TRUE,mapped
