period,period_date,year,uf,state_abbrev,state_name,macroregion,population,source_system,source_frequency,reference_date_rule,source_table_id,observation_status,imputation_rule
2000,2000-07-01,2000,22,PI,Piaui,Northeast,2841202,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,41,PR,Parana,South,9558454,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,33,RJ,Rio de Janeiro,Southeast,14367083,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,24,RN,Rio Grande do Norte,Northeast,2771538,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,11,RO,Rondonia,North,1377792,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,14,RR,Roraima,North,324152,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,43,RS,Rio Grande do Sul,South,10181749,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,42,SC,Santa Catarina,South,5349580,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,28,SE,Sergipe,Northeast,1781714,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,35,SP,Sao Paulo,Southeast,36969476,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2000,2000-07-01,2000,17,TO,Tocantins,North,1155913,IBGE/SeculoXX,annual,Census 2000 historical table,IBGE_SECULOXX_2000,observed,
2001,2001-07-01,2001,12,AC,Acre,North,574355,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,27,AL,Alagoas,Northeast,2856629,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,13,AM,Amazonas,North,2900240,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,16,AP,Amapa,North,498735,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,29,BA,Bahia,Northeast,13214114,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,23,CE,Ceara,Northeast,7547620,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,53,DF,Distrito Federal,Center-West,2097447,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,32,ES,Espirito Santo,Southeast,3155016,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,52,GO,Goias,Center-West,5116462,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,21,MA,Maranhao,Northeast,5730467,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,31,MG,Minas Gerais,Southeast,18127096,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,50,MS,Mato Grosso do Sul,Center-West,2111036,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,51,MT,Mato Grosso,Center-West,2560584,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,15,PA,Para,North,6341736,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,25,PB,Paraiba,Northeast,3468594,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,26,PE,Pernambuco,Northeast,8008207,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,22,PI,Piaui,Northeast,2873010,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,41,PR,Parana,South,9694709,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,33,RJ,Rio de Janeiro,Southeast,14558545,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,24,RN,Rio Grande do Norte,Northeast,2815244,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,11,RO,Rondonia,North,1407886,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,14,RR,Roraima,North,337237,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,43,RS,Rio Grande do Sul,South,10309819,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,42,SC,Santa Catarina,South,5448736,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,28,SE,Sergipe,Northeast,1817301,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,35,SP,Sao Paulo,Southeast,37630106,SIDRA/EstimaPop,annual,1 July,6579,observed,
2001,2001-07-01,2001,17,TO,Tocantins,North,1184895,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,12,AC,Acre,North,586942,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,27,AL,Alagoas,Northeast,2887535,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,13,AM,Amazonas,North,2961801,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,16,AP,Amapa,North,516511,SIDRA/EstimaPop,annual,1 July,6579,observed,
2002,2002-07-01,2002,29,BA,Bahia,Northeast,13323212,SIDRA/EstimaPop,annual,1 July,6579,observed,
