competencia,period_date,year,month,uf,state_abbrev,state_name,macroregion,formal_hiring_balance_construction,source_regime,source_component,post_2020_caged_dummy,caged_method_break_dummy,series_version
200702,2007-02-01,2007,2,26,PE,Pernambuco,Northeast,261,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,22,PI,Piaui,Northeast,90,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,41,PR,Parana,South,425,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,33,RJ,Rio de Janeiro,Southeast,535,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,24,RN,Rio Grande do Norte,Northeast,135,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,11,RO,Rondonia,North,14,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,14,RR,Roraima,North,5,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,43,RS,Rio Grande do Sul,South,230,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,42,SC,Santa Catarina,South,158,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,28,SE,Sergipe,Northeast,186,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,35,SP,Sao Paulo,Southeast,1128,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200702,2007-02-01,2007,2,17,TO,Tocantins,North,24,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,12,AC,Acre,North,-8,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,27,AL,Alagoas,Northeast,80,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,13,AM,Amazonas,North,81,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,16,AP,Amapa,North,13,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,29,BA,Bahia,Northeast,467,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,23,CE,Ceara,Northeast,316,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,53,DF,Distrito Federal,Center-West,142,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,32,ES,Espirito Santo,Southeast,198,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,52,GO,Goias,Center-West,508,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,21,MA,Maranhao,Northeast,183,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
200703,2007-03-01,2007,3,31,MG,Minas Gerais,Southeast,2376,old_caged,complete,0,0,old_complete_novo_mov_for_exc_v1
