predictor,treated_value,synthetic_value,difference,used_in_scaled_fit
lag_2016_01,-84,1512.8840444838868,-1596.8840444838868,TRUE
lag_2016_02,-167,2366.125626017826,-2533.125626017826,TRUE
lag_2016_03,53,641.0445639304162,-588.0445639304162,TRUE
lag_2016_04,-11,-339.0497192207523,328.0497192207523,TRUE
lag_2016_05,-54,-911.7127326627347,857.7127326627347,TRUE
lag_2016_06,-286,-188.2012895313197,-97.7987104686803,TRUE
lag_2016_07,-376,619.9032638712376,-995.9032638712376,TRUE
lag_2016_08,-313,220.4980292433383,-533.4980292433384,TRUE
lag_2016_09,32,404.3454274837108,-372.3454274837108,TRUE
lag_2016_10,-175,-208.26331794358126,33.26331794358126,TRUE
lag_2016_11,-198,-4023.37526898939,3825.37526898939,TRUE
lag_2016_12,-688,-12216.08874606418,11528.08874606418,TRUE
lag_2017_01,-430,-9083.096523343895,8653.096523343895,TRUE
lag_2017_02,-266,-7030.498750097644,6764.498750097644,TRUE
lag_2017_03,-352,-8749.31621532519,8397.31621532519,TRUE
lag_2017_04,-108,-8407.064668010938,8299.064668010938,TRUE
lag_2017_05,159,-8468.514078287259,8627.514078287259,TRUE
lag_2017_06,182,-6350.797249521184,6532.797249521184,TRUE
lag_2017_07,197,-4318.762171634942,4515.762171634942,TRUE
lag_2017_08,612,-3794.752832774039,4406.752832774038,TRUE
lag_2017_09,1147,-3403.0359067512627,4550.035906751263,TRUE
lag_2017_10,1195,-2871.815853922079,4066.815853922079,TRUE
lag_2017_11,1338,-5765.851751825721,7103.851751825721,TRUE
lag_2017_12,1109,-12192.705633394517,13301.705633394517,TRUE
lag_2018_01,1201,-8518.471921143115,9719.471921143115,TRUE
lag_2018_02,1152,-5634.967499433903,6786.967499433903,TRUE
lag_2018_03,1150,-6827.856759364617,7977.856759364617,TRUE
lag_2018_04,1259,-5363.45277807716,6622.45277807716,TRUE
lag_2018_05,901,-4543.4267970163555,5444.4267970163555,TRUE
lag_2018_06,631,-2459.552937412177,3090.552937412177,TRUE
lag_2018_07,516,-65.36283623856428,581.3628362385643,TRUE
lag_2018_08,651,2226.918265492616,-1575.9182654926158,TRUE
lag_2018_09,1276,2866.9440570011693,-1590.9440570011693,TRUE
lag_2018_10,1421,4054.3358251742884,-2633.3358251742884,TRUE
lag_2018_11,1645,3296.618841647479,-1651.6188416474788,TRUE
mean_formalization_rate_pnadc,0.5626363636363636,0.5811444515505645,-0.018508087914200888,TRUE
mean_retail_volume_index,77.11465942857143,81.89602648983039,-4.781367061258962,TRUE
mean_services_volume_index,82.88908942857142,88.11951002473225,-5.230420596160826,TRUE
mean_unemployment_rate_pnadc,0.10127272727272728,0.10135400386662144,-8.12765938941612e-5,TRUE
