donor_state,weight
MS,0.429021395909287
MT,0.31474749647160954
AP,0.10731334533653035
MA,0.09473160418271612
PA,0.0541861580998426
AC,8.645255664389336e-15
DF,2.4844757050481005e-15
PR,1.3175619866129826e-15
PB,1.1719032834824787e-15
SE,7.437918392710843e-16
ES,1.7275989310313146e-18
MG,8.281450662313798e-19
AL,0
BA,0
CE,0
GO,0
PE,0
PI,0
RJ,0
RN,0
RO,0
RS,0
SC,0
SP,0
