donor_state,scm_weight,short_label
PE,0.32481066215223664,Formal hiring TC
SP,0.229389540486528,Formal hiring TC
RO,0.169390048874749,Formal hiring TC
MS,0.14719843346897382,Formal hiring TC
MG,0.12921131501750993,Formal hiring TC
PE,0.42117608802736145,Construction TC
MS,0.21521092106507672,Construction TC
BA,0.2099423803580349,Construction TC
RS,0.12426723495504884,Construction TC
MA,0.02336338786679855,Construction TC
MT,0.4202071359806323,Retail TC
RN,0.3297637200117771,Retail TC
ES,0.1760622512484451,Retail TC
GO,0.05946927356621404,Retail TC
DF,0.01449761919291675,Retail TC
PB,0.5885117720528554,Services TC
AP,0.28389722339793005,Services TC
MA,0.12759100454921266,Services TC
SP,9.648403617215793e-16,Services TC
CE,3.5438799135404872e-16,Services TC
BA,0.3487116592916256,Own tax revenue SA
PA,0.30623537837890336,Own tax revenue SA
AC,0.1428147533242579,Own tax revenue SA
DF,0.10079901988288748,Own tax revenue SA
MS,0.05088505251110804,Own tax revenue SA
PA,0.276062820182028,ICMS SA
SP,0.26778048565195,ICMS SA
AC,0.24310424780922865,ICMS SA
BA,0.21305244635676465,ICMS SA
PB,2.6045867045403028e-14,ICMS SA
PA,0.3128242057978526,Public investment SA
BA,0.26622856339861234,Public investment SA
CE,0.09434444938411822,Public investment SA
RR,0.08959104146666828,Public investment SA
DF,0.06463435068169761,Public investment SA
PA,0.4637906189450605,Total expenditure SA
AC,0.19429799337221004,Total expenditure SA
BA,0.1058876516029417,Total expenditure SA
AP,0.08603207408720145,Total expenditure SA
RN,0.05789156740414107,Total expenditure SA
