Outcome,Gap post,LOO rank,p-value (2-sided),Note
Formal hiring TC,8.11,3 / 25,0.12,Not extreme vs LOO distribution
Retail TC,-0.4,1 / 25,0.04,Unusually small negative gap
Services TC,5.68,25 / 25,0.04,Unusually large positive gap
ICMS SA,47.98,2 / 25,0.08,Unusually small positive gap
Public investment SA,-4.83,20 / 25,0.24,Not extreme vs LOO distribution
Total expenditure SA,-22.08,23 / 25,0.12,Not extreme vs LOO distribution
