period_date,event_time,plot_time,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmentation_cv_rmse,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2015-08-01,-20,-20,pre,420.2105154358016,393.10728449974414,27.38267325361068,1e-4,0.0167104540708789,420.4899577533548,27.103230936057457,-0.2794423175532188,state_tax_revenue_real_pc_ma4_v5
2015-10-01,-19,-19,pre,402.3075847948989,375.72018657276163,24.096725340614064,1e-4,0.019680929716125686,399.8169119133757,26.587398222137267,2.49067288152321,state_tax_revenue_real_pc_ma4_v5
2015-12-01,-18,-18,pre,406.8907145894443,391.2188051582779,19.638203033859007,1e-4,0.012582241508642822,410.8570081921369,15.671909431166398,-3.9662936026925877,state_tax_revenue_real_pc_ma4_v5
2016-02-01,-17,-17,pre,412.71261274529235,397.41760736229224,12.490609174490691,1e-4,0.018013885680684537,409.90821653678296,15.295005383000102,2.804396208509388,state_tax_revenue_real_pc_ma4_v5
2016-04-01,-16,-16,pre,411.8172669881179,398.8074153657494,18.01699657562279,8.858667904100823e-4,0.01508079518824686,416.8244119413722,13.009851622368501,-5.007144953254283,state_tax_revenue_real_pc_ma4_v5
2016-06-01,-15,-15,pre,416.6641267397408,399.1985348540893,11.191768705011455,1e-4,0.012025931625236805,410.39030355910074,17.46559188565152,6.273823180640079,state_tax_revenue_real_pc_ma4_v5
2016-08-01,-14,-14,pre,402.2914416080771,380.8450683805053,25.454614382027394,1e-4,0.01718365531797713,406.2996827625327,21.44637322757177,-4.008241154455618,state_tax_revenue_real_pc_ma4_v5
2016-10-01,-13,-13,pre,394.965229727459,378.56888966640554,17.173644367675,1e-4,0.01943775394260534,395.74253403408056,16.39634006105348,-0.777304306621545,state_tax_revenue_real_pc_ma4_v5
2016-12-01,-12,-12,pre,425.01307816656856,395.9383840492194,27.071870241519964,1e-4,0.006753673135640607,423.01025429073934,29.074694117349168,2.002823875829222,state_tax_revenue_real_pc_ma4_v5
2017-02-01,-11,-11,pre,440.34155979126655,400.5981938416659,46.209883275612775,1e-4,0.011279374759373222,446.80807711727863,39.74336594960067,-6.466517326012081,state_tax_revenue_real_pc_ma4_v5
2017-04-01,-10,-10,pre,451.2338225027962,397.15512909790044,51.19295424643088,1e-4,0.022668931122765537,448.3480833443313,54.07869340489577,2.885739158464901,state_tax_revenue_real_pc_ma4_v5
2017-06-01,-9,-9,pre,454.5610855956397,409.70731343304425,42.25640619562368,0.0026366508987303583,0.022225483436570544,451.96371962866795,44.853772162595476,2.597365966971779,state_tax_revenue_real_pc_ma4_v5
2017-08-01,-8,-8,pre,431.63199552413874,401.89389235101044,27.474778397346316,1e-4,0.01578374764419781,429.36867074835675,29.73810317312831,2.263324775781996,state_tax_revenue_real_pc_ma4_v5
2017-10-01,-7,-7,pre,415.08014370025217,411.8435351970692,4.467485146168048,1e-4,0.016706380731516268,416.3110203432372,3.2366085031829925,-1.230876642985038,state_tax_revenue_real_pc_ma4_v5
2017-12-01,-6,-6,pre,421.4447196718109,432.6172099024252,-13.691302922809946,1e-4,0.014300711326400298,418.92590697961526,-11.1724902306143,2.518812692195638,state_tax_revenue_real_pc_ma4_v5
2018-02-01,-5,-5,pre,386.6134523412141,444.6318406969783,-57.541264017305444,1e-4,0.03228653423303645,387.0905766796729,-58.018388355764216,-0.4771243384587933,state_tax_revenue_real_pc_ma4_v5
2018-04-01,-4,-4,pre,355.1806866375855,441.1506964737156,-80.64212342266981,2.9763514416313193e-4,0.017889019266799595,360.5085730510458,-85.97000983613009,-5.3278864134603054,state_tax_revenue_real_pc_ma4_v5
2018-06-01,-3,-3,pre,326.07190439301166,432.60362338724576,-107.31200391076915,8.858667904100823e-4,0.019921842403707483,325.2916194764766,-106.5317189942341,0.7802849165350381,state_tax_revenue_real_pc_ma4_v5
2018-08-01,-2,-2,pre,282.55075830728254,430.508051774914,-153.95043004561592,1e-4,0.02098068896547654,276.5576217292981,-147.95729346763147,5.993136577984444,state_tax_revenue_real_pc_ma4_v5
2018-10-01,-1,-1,pre,279.59027888138894,423.94420479877147,-141.44397715307193,1e-4,0.015612456777738818,282.5002276456995,-144.35392591738253,-2.9099487643105704,state_tax_revenue_real_pc_ma4_v5
2019-08-01,4,1,post,395.931651461847,439.97280512039714,-8.161973045398664,16.23776739188721,0.15276205257210154,431.8108320749985,-44.041153658550115,-35.87918061315145,state_tax_revenue_real_pc_ma4_v5
2019-10-01,5,2,post,388.5077901426129,450.41702505930937,-3.308143493947553,16.23776739188721,0.1566438528926583,447.1088815653618,-61.90923491669645,-58.60109142274888,state_tax_revenue_real_pc_ma4_v5
2019-12-01,6,3,post,402.05799256373984,472.87688669347807,1.1075757700164728,16.23776739188721,0.17959698266075458,473.98446246349454,-70.81889412973823,-71.9264698997547,state_tax_revenue_real_pc_ma4_v5
