Outcome,Rank,p (classico)
Varejo MA6 (log),16 / 23,0.695652173913043
Emprego formal 6m (per 1k),3 / 23,0.130434782608696
ICMS CONFAZ 6m pc (log),9 / 23,0.391304347826087
