outcome,treated_ratio,n_placebo,rank,n_units,classic_p
retail_ma6_log,6.442768613935986,22,16,23,0.6956521739130435
formal_hiring_6m_per1k,4.835510268593075,22,3,23,0.13043478260869565
icms_conf6m_pc_log,6.808194100622823,22,9,23,0.391304347826087
