period_date,analysis_period,clean_treated_value,clean_scm_synthetic_value,clean_augmented_synthetic_value,visual_treated_value,display_treated_value
2016-04-01,pre,79.66023666666666,80.1072388615971,79.63364664823067,79.66023666666666,79.66023666666666
2016-05-01,pre,78.30072833333334,79.34988388141868,78.10425170037846,78.30072833333334,78.30072833333334
2016-06-01,pre,74.40290166666666,73.83809354838242,74.5150818378002,74.40290166666666,74.40290166666666
2016-07-01,pre,75.27195333333333,73.46335454905785,75.7708909122698,75.27195333333333,75.27195333333333
2016-08-01,pre,77.543535,73.50255020719784,77.2294899814099,77.543535,77.543535
2016-09-01,pre,78.62769833333334,72.53484555881273,78.52453916987967,78.62769833333334,78.62769833333334
2016-10-01,pre,80.26255,72.55549399020249,80.38089883900946,80.26255,80.26255
2016-11-01,pre,81.85437833333333,72.52800431845054,82.20318853237913,81.85437833333333,81.85437833333333
2016-12-01,pre,85.96731833333334,76.8297930906023,85.23650600050854,85.96731833333334,85.96731833333334
2017-01-01,pre,83.22848333333333,77.01054112971923,82.9430572698565,83.22848333333333,83.22848333333333
2017-02-01,pre,79.880575,76.55777040649664,79.76422739984304,79.880575,79.880575
2017-03-01,pre,77.58627,77.14155789113086,77.28512947618178,77.58627,77.58627
2017-04-01,pre,74.766265,77.02616248338951,75.24581965189138,74.766265,74.766265
2017-05-01,pre,72.885925,77.29501291117631,73.28715111635212,72.885925,72.885925
2017-06-01,pre,68.34416666666667,73.3128696672249,68.31728771789706,68.34416666666667,68.34416666666667
2017-07-01,pre,70.51462333333333,73.85124899190673,70.0407550121393,70.51462333333333,70.51462333333333
2017-08-01,pre,73.25724666666666,75.61496670437792,73.25824258985553,73.25724666666666,73.25724666666666
2017-09-01,pre,74.93166666666667,76.51864195209977,74.7587001574546,74.93166666666667,74.93166666666667
2017-10-01,pre,76.491115,77.55424124307577,76.91475753155999,76.491115,76.491115
2017-11-01,pre,77.583165,78.43500856655984,77.7070591682366,77.583165,77.583165
2017-12-01,pre,80.34760666666666,82.89443081584248,80.33818517761665,80.34760666666666,80.34760666666666
2018-01-01,pre,79.72671833333334,82.4557347101203,79.8336353425032,79.72671833333334,79.72671833333334
2018-02-01,pre,78.26864833333333,81.40185526327197,77.99491530085884,78.26864833333333,78.26864833333333
2018-03-01,pre,78.08289333333333,81.96100938598391,78.06563753070958,78.08289333333333,78.08289333333333
2018-04-01,pre,77.29325166666666,81.60347253692268,77.19046888155104,77.29325166666666,77.29325166666666
2018-05-01,pre,77.55250166666667,81.49615844811231,77.52520968879041,77.55250166666667,77.55250166666667
2018-06-01,pre,75.10647666666667,77.7266854654381,75.28910804527251,75.10647666666667,75.10647666666667
2018-07-01,pre,75.365775,77.6969504836535,75.26778744678913,75.365775,75.365775
2018-08-01,pre,76.55546166666667,79.03666939558158,76.41060027461484,76.55546166666667,76.55546166666667
2018-09-01,pre,76.24355166666666,78.99861301627725,76.72470864799936,76.24355166666666,76.24355166666666
2018-10-01,pre,77.75325666666666,80.22471524195319,77.47511468269354,77.75325666666666,77.75325666666666
2019-06-01,post,76.903465,82.90362931338449,81.5115743437326,76.903465,76.903465
2019-07-01,post,78.226535,84.14045776508922,83.22025783434873,78.226535,78.226535
2019-08-01,post,80.51602333333334,86.25395530260786,85.39294293602453,80.51602333333334,80.51602333333334
2019-09-01,post,81.66248166666666,86.75082443544179,85.98797737020115,81.66248166666666,81.66248166666666
2019-10-01,post,83.24366833333333,88.35038526262322,84.18694851423464,83.24366833333333,83.24366833333333
2019-11-01,post,85.67196833333333,90.07989245770446,86.64063691804995,85.67196833333333,85.67196833333333
2019-12-01,post,88.345795,95.46919303040345,86.4518016417598,88.345795,88.345795
2020-01-01,post,87.45521666666667,95.2103698757808,85.25137792479994,87.45521666666667,87.45521666666667
2020-02-01,post,85.96020666666666,93.90542289483382,81.59061920718761,85.96020666666666,85.96020666666666
2020-03-01,post,84.01311166666666,91.80005391618025,90.87661906932976,84.01311166666666,84.01311166666666
2020-04-01,post,79.967815,86.1206235648087,85.17493234708999,79.967815,79.967815
2020-05-01,post,76.21402166666667,81.20611969844539,80.46233936319716,76.21402166666667,76.21402166666667
2020-06-01,post,73.35456333333333,74.84260830454265,74.59234933947998,73.35456333333333,73.35456333333333
2020-07-01,post,74.91202166666667,76.5163854922936,76.3847878409917,74.91202166666667,74.91202166666667
2020-08-01,post,77.78629000000001,81.592082884211,81.34966809953713,77.78629000000001,77.78629000000001
2020-09-01,post,81.381195,86.40206735078381,86.18202863160249,81.381195,81.381195
2020-10-01,post,86.79456,94.6952499137005,94.37435563646363,86.79456,86.79456
2020-11-01,post,90.76300833333332,102.5003754389336,100.52665669448024,90.76300833333332,90.76300833333332
2020-12-01,post,96.15844333333334,110.2535788601097,107.54388508394692,96.15844333333334,96.15844333333334
