state_abbrev,va_icms_secundario_real_pc,va_icms_terciario_real_pc,va_icms_energia_real_pc,va_icms_combustiveis_real_pc,fpe_real_pc,iof_est_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,0.6732035902125233,106.11144376799388,0.7183019835189692,1.7617229931905016,124.53645000080628,3.030041398928202e-6,TRUE,FALSE,
AL,6.753574677833305,15.797554405880854,2.966869509269036,2.528028787370274,31.528263745959364,0,TRUE,FALSE,
AM,27.634883089043807,43.159716204127406,2.581716402894242,10.983180070292052,20.56563423642918,7.240235387481549e-4,TRUE,FALSE,
AP,3.1899613443205674,18.597242911577975,0.9223040733866246,10.758365588914321,142.29491200181798,0.029470861680326338,TRUE,FALSE,
BA,12.400263371172398,17.129589063563945,4.4704794220988715,12.452548640544336,15.330183260969372,8.760355381812365e-7,TRUE,FALSE,
CE,9.569281715919745,16.441525819201708,4.367289612004639,7.251172707923295,20.87946951085199,1.0340015607851946e-4,TRUE,FALSE,
DF,20.598159472555686,54.635757105516895,9.036821039965961,24.434569157097155,6.87022102845258,0,FALSE,TRUE,coded_removal_in_scm_window:DF_2010_01
ES,36.68786290655446,49.22347473726943,10.187146782593935,15.495109658221589,10.266267674700613,4.150294161926492e-6,TRUE,FALSE,
GO,15.771934250156816,25.723612295078105,7.731523246729635,16.122520526922994,11.788366957937187,1.516731893786392e-5,TRUE,FALSE,
MA,3.1830509246890117,7.811066558071546,1.700766715274279,5.124711527227129,27.192597776539777,6.758508791876401e-5,FALSE,TRUE,coded_removal_in_scm_window:MA_2009_01
MG,22.57409300844724,21.980355378720102,9.055246264751148,15.068618229698767,5.307180985168763,2.8473501741260223e-5,TRUE,FALSE,
MS,3.597491025542659,45.28342229644125,5.793423405042763,27.18773452085112,13.53695178262293,5.004542210568972e-6,TRUE,FALSE,
MT,12.735423804986446,41.63684087567656,8.949998128065317,20.87051114109477,19.18137739296781,0.008062023935761574,TRUE,FALSE,
PA,6.269039087213197,16.187754459087685,3.5145868919614207,7.204736587580294,20.374474371027823,0.005405255884173053,TRUE,FALSE,
PB,7.1046018280022585,19.50450069832049,3.179784146685683,4.372392137228131,30.00555682044213,5.0478270382189455e-6,FALSE,TRUE,treated_unit
PE,7.0276540717182066,24.038818693935497,4.532681191222652,7.731031587382213,18.710404356516076,7.717190961784105e-8,TRUE,FALSE,
PI,3.4064160194245208,13.681836328745515,2.6904681773188623,6.075603052801571,32.709062781833474,1.046576969462522e-6,TRUE,FALSE,
PR,13.462178463108597,27.683029009620462,9.958664979788994,17.723285259260674,6.415320913940603,5.595538851336433e-5,TRUE,FALSE,
RJ,23.076717529264197,35.82997425900458,12.41049196881066,11.670367417834514,2.2737926635008465,2.3350180612779044e-4,TRUE,FALSE,
RN,11.245054057394647,25.894132388429316,3.70525092136551,1.06329077231778,32.01937393603688,1.7563150473217193e-6,TRUE,FALSE,
RO,4.21834811691596,41.086652806812836,1.9099997154096047,15.251192081743792,43.35221843114633,0.009978850427507069,TRUE,FALSE,
RR,3.7010929976506675,23.493220272670854,2.794136084584554,12.395560374266424,157.5453114005819,0.00446868031701081,TRUE,FALSE,
RS,27.59037011437836,31.737816614410082,9.555165446931454,19.10288820229928,4.976797548945898,3.2992967810660867e-7,TRUE,FALSE,
SC,22.24358859719274,35.581268543776005,10.699135240087722,19.112233826391783,5.055010796051357,1.2796134427482444e-7,TRUE,FALSE,
SE,8.433570809295825,21.014294433322075,4.314752310194363,4.728169117986614,49.16121301903026,0,TRUE,FALSE,
SP,49.31245264263093,43.66465114032854,10.208707193938773,17.420597614181894,0.5726431291136018,8.857898703773318e-5,TRUE,FALSE,
TO,5.876567323180006,18.02905700635007,4.400174423239099,12.624214397039054,78.50469987345187,1.2606087969993992e-4,FALSE,TRUE,coded_removal_in_scm_window:TO_2009_01
