variable,spec,unit,post_periods,augmented_post_mean,classic_post_mean,augmented_2019_mean,classic_2019_mean,augmented_2020_mean,classic_2020_mean,short_window_end,augmented_short_window_mean,classic_short_window_mean
Saldo trabalho formal,monthly level,jobs,24,-118.23391174742919,-34.5258587877738,-152.07183985951158,-229.00526678449103,-84.3959836353468,159.95354920894343,2019-06-01,-465.378035327286,-795.5317380777282
Saldo trabalho formal,monthly MA6 post-clean,jobs,24,-236.41477316308593,-532.4140726287309,-661.1178275656823,-1282.389429429646,188.28828123951047,217.56128417218446,2019-06-01,-1090.0873878894479,-2056.1880805571773
Saldo trabalho formal,"monthly MA6 post-clean per 1,000 inhabitants","jobs per 1,000 inhabitants",24,0.05967708759933048,0.030156708049386517,-0.295588086579042,-0.46494415142638373,0.41494226177770294,0.5252575675251567,2019-06-01,-0.8105406980072426,-1.0981420492821339
Renda real do trabalho,quarterly MA4 post-clean,BRL,8,-61.967993187988554,-70.62938598151385,-130.4371666508424,-119.18233206532523,6.501180274865305,-22.07643989770247,2019-10-01,-130.4371666508424,-119.18233206532523
Taxa de formalizacao,quarterly level,share,8,-0.032736781050241116,-0.034632413695009544,-0.02289265542656623,-0.02901691163353048,-0.04258090667391601,-0.04024791575648862,2019-10-01,-0.02289265542656623,-0.02901691163353048
