donor_state,scm_weight
AC,0.30225664953754877
DF,0.22013892502539295
AP,0.20387217260223775
MS,0.090457222860214
ES,0.08284959483619093
PB,0.055087396185792226
MA,0.045338038952622416
PA,4.741675908671604e-16
PE,2.7408348278603793e-16
PR,1.1633551025099883e-16
RN,9.203084369184803e-17
RJ,2.5716301737674532e-17
PI,1.357898124277569e-17
SP,8.157296841116604e-18
AL,4.617102389401788e-18
SC,3.63798586317503e-18
MT,3.4142745038728145e-18
RO,7.417218365913275e-19
MG,2.1684043449710175e-19
BA,0
CE,0
GO,0
RS,0
SE,0
