period_date,period,analysis_period,treated_value,scm_synthetic_value,augmentation_correction,augmentation_lambda,augmentation_cv_rmse,augmented_synthetic_value,scm_gap,augmented_gap,outcome
2016-01-01,2016Q1,pre,3286,3364.0157161852567,-79.06009947791092,1e-4,4.5073402323231646e-4,3284.9556167073456,-78.01571618525668,1.0443832926544019,labor_income_real_pnadc_ma4_post_clean
2016-04-01,2016Q2,pre,3201,3213.5834213117428,-7.633199996441202,1e-4,0.0015526690261372736,3205.9502213153014,-12.583421311742768,-4.950221315301405,labor_income_real_pnadc_ma4_post_clean
2016-07-01,2016Q3,pre,3234.6666666666665,3177.7668360989837,52.63757921966356,1e-4,0.001385289688357096,3230.4044153186474,56.899830567682784,4.262251348019163,labor_income_real_pnadc_ma4_post_clean
2016-10-01,2016Q4,pre,3223.25,3179.891378306954,43.65723534008587,1e-4,0.0014445084763455164,3223.5486136470395,43.35862169304619,-0.298613647039474,labor_income_real_pnadc_ma4_post_clean
2017-01-01,2017Q1,pre,3251.5,3200.6902429335973,48.8105574539714,1e-4,0.001572905951087421,3249.5008003875687,50.80975706640265,1.9991996124313118,labor_income_real_pnadc_ma4_post_clean
2017-04-01,2017Q2,pre,3235.5,3207.7212117607287,31.110391858149136,1e-4,0.001974712201697885,3238.831603618878,27.778788239271307,-3.3316036188780345,labor_income_real_pnadc_ma4_post_clean
2017-07-01,2017Q3,pre,3213.25,3219.325701771244,-6.623672784602427,1e-4,0.0010623174941005549,3212.7020289866414,-6.075701771243985,0.5479710133586195,labor_income_real_pnadc_ma4_post_clean
2017-10-01,2017Q4,pre,3207.25,3231.943047348973,-25.186232205192045,1e-4,0.0010343967087937042,3206.756815143781,-24.69304734897287,0.493184856219159,labor_income_real_pnadc_ma4_post_clean
2018-01-01,2018Q1,pre,3218.25,3247.5710705862393,-29.55441310616912,1e-4,0.0012602889065301442,3218.01665748007,-29.32107058623933,0.23334251992991994,labor_income_real_pnadc_ma4_post_clean
2018-04-01,2018Q2,pre,3242,3265.9067113141427,-22.667993955005414,1e-4,9.388262007011663e-4,3243.2387173591374,-23.90671131414274,-1.238717359137354,labor_income_real_pnadc_ma4_post_clean
2018-07-01,2018Q3,pre,3261.75,3270.566000253479,-8.707387016408783,1e-4,4.5742139698578784e-4,3261.8586132370706,-8.81600025347916,-0.10861323707058546,labor_income_real_pnadc_ma4_post_clean
2019-01-01,2019Q1,post_partial_window_ma4,3315,3605.101924671448,-8.070603091553098,0.02758531617629184,0.1941019389750229,3597.031321579895,-290.10192467144816,-282.0313215798951,labor_income_real_pnadc_ma4_post_clean
2019-04-01,2019Q2,post_partial_window_ma4,3275.5,3382.712100004715,14.219136168352458,0.009617248711152965,0.1342482908261941,3396.9312361730676,-107.21210000471501,-121.43123617306765,labor_income_real_pnadc_ma4_post_clean
2019-07-01,2019Q3,post_partial_window_ma4,3309.6666666666665,3321.8307983231007,24.344030418815443,0.0023598334667821936,0.11442105963131655,3346.174828741916,-12.164131656434165,-36.5081620752494,labor_income_real_pnadc_ma4_post_clean
2019-10-01,2019Q4,post,3261.5,3328.7511719287036,14.526774846453954,0.0023598334667821936,0.11334328247996868,3343.2779467751575,-67.25117192870357,-81.77794677515749,labor_income_real_pnadc_ma4_post_clean
2020-01-01,2020Q1,post,3273,3312.9424485542368,-2.358376309365918,0.0011689518164985776,0.12234013332610008,3310.5840722448706,-39.94244855423676,-37.58407224487064,labor_income_real_pnadc_ma4_post_clean
2020-04-01,2020Q2,post,3275.25,3303.108168162655,-38.93021260796694,0.0011689518164985776,0.16099900632158778,3264.177955554688,-27.858168162655147,11.072044445311803,labor_income_real_pnadc_ma4_post_clean
2020-07-01,2020Q3,post,3265.5,3293.035488448106,-73.09362462638894,8.227241341700474e-4,0.18027472572795808,3219.941863821717,-27.535488448106207,45.55813617828289,labor_income_real_pnadc_ma4_post_clean
2020-10-01,2020Q4,post,3311.5,3304.4696544258118,0.07173285345121568,7.609496685459884,0.203936261606687,3304.541387279263,7.030345574188232,6.958612720737165,labor_income_real_pnadc_ma4_post_clean
