state_abbrev,period_date,unemployment_rate_pnadc,formalization_rate_pnadc,labor_income_real_pnadc,unemployment_rate_pnadc_sa,formalization_rate_pnadc_sa,labor_income_real_pnadc_sa,year,quarter,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,analysis_period,instability_start_date,removal_date
AC,2012-01-01,0.092,,3312,0.0927679683111666,,3217.79336692377,2012,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2012-04-01,0.09,,2753,0.0851738613721219,,2794.44810190301,2012,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2012-07-01,0.077,,2803,0.081276093673771,,2851.87941869163,2012,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2012-10-01,0.08199999999999999,,2880,0.093490940302956,,2888.87072330064,2012,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2013-01-01,0.109,,2847,0.096523831109105,,2745.88159124201,2013,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2013-04-01,0.095,,2668,0.0901034879515953,,2706.69444760077,2013,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2013-07-01,0.08900000000000001,,2738,0.090230840960453,,2794.41222539332,2013,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2013-10-01,0.07,,2709,0.0816250983967427,,2722.62133912759,2013,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2014-01-01,0.081,,2693,0.0690045476838545,,2578.63163055218,2014,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2014-04-01,0.097,,2675,0.0919976542653417,,2713.48521059632,2014,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2014-07-01,0.07,,2624,0.0706472879266114,,2688.09852226434,2014,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2014-10-01,0.063,,2621,0.0747810159808736,,2644.11990442432,2014,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2015-01-01,0.08800000000000001,,2781,0.076469667559321,,2646.31089253053,2015,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2015-04-01,0.08900000000000001,,2647,0.0838630339331048,,2690.49633213396,2015,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2015-07-01,0.08900000000000001,,2483,0.0894926650882901,,2552.41325763776,2015,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2015-10-01,0.077,0.468,2531,0.0887778938881301,0.471093035123733,2565.49600420183,2015,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AC,2016-01-01,0.08800000000000001,0.456,2759,0.0898559110888167,0.484986490786904,2598.69791004392,2016,1,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AC,2016-04-01,0.111,0.517,2520,0.106408506826707,0.508752538317787,2577.11110403461,2016,2,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AC,2016-07-01,0.122,0.532,2483,0.122852911334879,0.520847697572501,2553.37878743988,2016,3,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
