state_abbrev,period_date,unemployment_rate_pnadc,formalization_rate_pnadc,labor_income_real_pnadc,unemployment_rate_pnadc_sa,formalization_rate_pnadc_sa,labor_income_real_pnadc_sa,year,quarter,treated_unit,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason,analysis_period,instability_start_date,removal_date
AC,2016-10-01,0.117,0.499,2634,0.130583154443583,0.504804784430946,2673.09637486969,2016,4,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AC,2017-01-01,0.159,0.497,2925,0.14399505997842801,0.504286673589445,2747.51733763303,2017,1,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AC,2017-04-01,0.15,0.497,2582,0.146514531277654,0.489418010037114,2656.46179320164,2017,2,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AC,2017-07-01,0.13699999999999998,0.484,2567,0.141088183478672,0.477171418501353,2632.01590779114,2017,3,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AC,2017-10-01,0.123,0.464,2506,0.13553463929511,0.468591271207079,2541.93306915487,2017,4,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AC,2018-01-01,0.146,0.469,2708,0.129942571062633,0.474529485806166,2526.72297373142,2018,1,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AC,2018-04-01,0.13699999999999998,0.489,2457,0.134863132878383,0.483337668024141,2548.32292436914,2018,2,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AL,2012-01-01,0.113,,2020,0.10922763232522,,1855.2577425739,2012,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2012-04-01,0.117,,1994,0.113250353745748,,2026.13798821676,2012,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2012-07-01,0.116,,2029,0.116694121460365,,2106.55641706292,2012,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2012-10-01,0.111,,1912,0.117835680648263,,1918.92173834817,2012,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2013-01-01,0.122,,2051,0.118304173338143,,1986.02318055993,2013,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2013-04-01,0.108,,1993,0.10399631147199,,2026.05223154824,2013,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2013-07-01,0.106,,2034,0.106826878460995,,2071.48575243058,2013,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2013-10-01,0.095,,2068,0.102109819631857,,2071.15436962741,2013,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2014-01-01,0.099,,2270,0.0951516077493635,,2202.6843295202,2014,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2014-04-01,0.099,,2108,0.094495240611557,,2144.84159277472,2014,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2014-07-01,0.099,,2112,0.100241289842888,,2154.63071689371,2014,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2014-10-01,0.095,,2226,0.10248616837155,,2222.10195112408,2014,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2015-01-01,0.112,,2212,0.107787848958532,,2141.90922299835,2015,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2015-04-01,0.119,,2175,0.114169081471255,,2215.56375060298,2015,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2015-07-01,0.109,,2162,0.110469431970121,,2212.44912157516,2015,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2015-10-01,0.114,0.5389999999999999,2170,0.122016956821785,0.524035150334992,2155.98331269879,2015,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AL,2016-01-01,0.129,0.536,2275,0.124229846813978,0.527948363025182,2105.19367094006,2016,1,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AL,2016-04-01,0.141,0.515,2047,0.136070403937914,0.526338170451575,2088.62125343961,2016,2,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AL,2016-07-01,0.149,0.5229999999999999,2034,0.150645734301208,0.534790584012615,2091.36344055452,2016,3,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AL,2016-10-01,0.15,0.55,2092,0.158332288664324,0.534463376954728,2114.21454021236,2016,4,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AL,2017-01-01,0.177,0.5509999999999999,2192,0.171618618407973,0.544219673874184,2078.42854539508,2017,1,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AL,2017-04-01,0.18,0.524,1990,0.175761835452008,0.534583832330911,2032.12469032872,2017,2,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AL,2017-07-01,0.161,0.52,1935,0.162185624395826,0.531263141693663,2041.02294477813,2017,3,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AL,2017-10-01,0.158,0.56,2060,0.16648568044387,0.543973446020361,2077.19838768211,2017,4,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AL,2018-01-01,0.179,0.568,2237,0.173073151619847,0.56364610218193,2121.22450249197,2018,1,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AL,2018-04-01,0.177,0.5489999999999999,2167,0.173776234469649,0.558808384341051,2213.35932318119,2018,2,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AM,2012-01-01,0.111,,2942,0.102296189433356,,2864.60753700939,2012,1,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2012-04-01,0.091,,2875,0.0869899432364772,,2886.23266390634,2012,2,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2012-07-01,0.095,,2793,0.0986345491319894,,2847.56753417016,2012,3,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2012-10-01,0.083,,2755,0.0921229256491547,,2768.04173607866,2012,4,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2013-01-01,0.104,,2815,0.0952029194030103,,2734.4973143435,2013,1,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2013-04-01,0.103,,2730,0.0990371859833888,,2743.65244346121,2013,2,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2013-07-01,0.084,,2664,0.0877241883304547,,2717.74519157039,2013,3,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2013-10-01,0.077,,2835,0.0859419602774698,,2850.57613844779,2013,4,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2014-01-01,0.083,,2821,0.0742559108615757,,2734.11185403064,2014,1,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2014-04-01,0.084,,2797,0.0801307064378137,,2815.83178451908,2014,2,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2014-07-01,0.068,,2777,0.0718303092430592,,2830.28544556378,2014,3,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2014-10-01,0.079,,2760,0.0875530407657551,,2776.44025334264,2014,4,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2015-01-01,0.095,,2810,0.0865047162268961,,2717.31006199566,2015,1,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2015-04-01,0.097,,2643,0.0931829038532592,,2669.05964201881,2015,2,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2015-07-01,0.103,,2617,0.106876242756643,,2665.3228752862,2015,3,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2015-10-01,0.093,0.459,2679,0.101254325637439,0.46081379534106,2699.50871467795,2015,4,TRUE,FALSE,TRUE,treated_unit,pre,2016-01-25,2017-05-04
AM,2016-01-01,0.13,0.44200000000000006,2753,0.121678096345073,0.444220340783832,2654.48010905602,2016,1,TRUE,FALSE,TRUE,treated_unit,crisis,2016-01-25,2017-05-04
AM,2016-04-01,0.135,0.43299999999999994,2522,0.131222146230109,0.433986938304278,2556.32590989752,2016,2,TRUE,FALSE,TRUE,treated_unit,crisis,2016-01-25,2017-05-04
AM,2016-07-01,0.138,0.42399999999999993,2427,0.14206314094456,0.418942864395672,2467.98510964532,2016,3,TRUE,FALSE,TRUE,treated_unit,crisis,2016-01-25,2017-05-04
AM,2016-10-01,0.151,0.421,2382,0.15880933631901,0.422843524576534,2403.77004200178,2016,4,TRUE,FALSE,TRUE,treated_unit,crisis,2016-01-25,2017-05-04
AM,2017-01-01,0.18,0.419,2626,0.171792977382902,0.421335519472268,2530.459005583,2017,1,TRUE,FALSE,TRUE,treated_unit,crisis,2016-01-25,2017-05-04
AM,2017-04-01,0.156,0.4270000000000001,2580,0.15240509372847,0.427741968072023,2616.96604629202,2017,2,TRUE,FALSE,TRUE,treated_unit,post,2016-01-25,2017-05-04
AM,2017-07-01,0.163,0.461,2631,0.167371397736993,0.456173753261166,2662.62860560565,2017,3,TRUE,FALSE,TRUE,treated_unit,post,2016-01-25,2017-05-04
AM,2017-10-01,0.136,0.45200000000000007,2869,0.143211617615004,0.453762365845753,2893.15335812023,2017,4,TRUE,FALSE,TRUE,treated_unit,post,2016-01-25,2017-05-04
AM,2018-01-01,0.14,0.4570000000000001,2576,0.131617260884836,0.459244364531675,2488.6695445161,2018,1,TRUE,FALSE,TRUE,treated_unit,post,2016-01-25,2017-05-04
AM,2018-04-01,0.14300000000000002,0.463,2463,0.140080019946352,0.463744434652986,2496.37988713365,2018,2,TRUE,FALSE,TRUE,treated_unit,post,2016-01-25,2017-05-04
AP,2012-01-01,0.126,,2705,0.126230409307427,,2683.30930339064,2012,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2012-04-01,0.147,,2721,0.140292820041033,,2793.63770148845,2012,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2012-07-01,0.142,,2671,0.140050242913158,,2682.2843511678,2012,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2012-10-01,0.12,,2902,0.128909450376626,,2844.33624368242,2012,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2013-01-01,0.115,,2671,0.119846239142611,,2643.1037079833,2013,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2013-04-01,0.14400000000000002,,2686,0.132676115177878,,2755.29707415171,2013,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2013-07-01,0.109,,2909,0.107448858160537,,2927.90840431827,2013,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2013-10-01,0.092,,3057,0.100236155904943,,3006.73321299367,2013,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2014-01-01,0.114,,3123,0.10379189823312,,3077.32071549247,2014,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2014-04-01,0.099,,2982,0.102734640080744,,3052.54190240393,2014,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2014-07-01,0.107,,3131,0.107116290643051,,3157.1118662036,2014,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2014-10-01,0.096,,3074,0.102346742954842,,3038.84796544653,2014,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2015-01-01,0.097,,3035,0.0944675729547873,,2964.79384698687,2015,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2015-04-01,0.103,,2829,0.0983202304250684,,2899.81107648578,2015,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2015-07-01,0.119,,2860,0.122222919883665,,2893.94160462692,2015,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2015-10-01,0.13,0.512,3101,0.134645553798464,0.517890279500283,3082.87317482913,2015,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
AP,2016-01-01,0.14800000000000002,0.511,3195,0.146705383669073,0.513678326851047,3102.39462797706,2016,1,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AP,2016-04-01,0.162,0.5129999999999999,3108,0.153557447629036,0.505894739992802,3175.59781385457,2016,2,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AP,2016-07-01,0.151,0.518,3117,0.158835083745426,0.516126878054518,3159.49683409468,2016,3,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AP,2016-10-01,0.17,0.5229999999999999,3237,0.172137474466098,0.529262492496247,3230.7261655802,2016,4,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AP,2017-01-01,0.188,0.511,3545,0.172498058791685,0.514253779390618,3438.90358285728,2017,1,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
AP,2017-04-01,0.17600000000000002,0.518,3362,0.180516130311649,0.510475997275968,3428.1412820411,2017,2,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AP,2017-07-01,0.17,0.502,3460,0.180232690744908,0.499181786426578,3502.81840851529,2017,3,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AP,2017-10-01,0.18899999999999997,0.4670000000000001,2969,0.189742977837113,0.474167977487974,2969.98465368357,2017,4,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AP,2018-01-01,0.21600000000000005,0.507,3265,0.21255757787786,0.510939642151713,3156.63501370074,2018,1,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
AP,2018-04-01,0.21600000000000005,0.52,2871,0.209459877013431,0.511618187099439,2937.81338178948,2018,2,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
BA,2012-01-01,0.116,,2290,0.105752779014217,,2201.32495832265,2012,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2012-04-01,0.114,,2059,0.1098793291066,,2097.05970100975,2012,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2012-07-01,0.108,,2037,0.111944410117572,,2068.39194858011,2012,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2012-10-01,0.108,,2046,0.118296846623414,,2067.83290506937,2012,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2013-01-01,0.134,,2137,0.120235220860896,,2043.48120186223,2013,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2013-04-01,0.119,,2061,0.118528466789091,,2100.57744106588,2013,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2013-07-01,0.107,,2071,0.110929867812353,,2104.46351384451,2013,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2013-10-01,0.091,,2136,0.101154858500008,,2161.00279098802,2013,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2014-01-01,0.116,,2264,0.106229178744811,,2160.15423016815,2014,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2014-04-01,0.101,,2129,0.0968591317019326,,2172.41553158286,2014,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2014-07-01,0.098,,2172,0.101604822749272,,2211.20338759727,2014,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2014-10-01,0.098,,2123,0.10825591444987,,2151.25123580319,2014,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2015-01-01,0.114,,2231,0.104200948564499,,2109.04584217822,2015,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2015-04-01,0.128,,2167,0.124208286262195,,2220.62614688343,2015,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2015-07-01,0.129,,2162,0.132341444305812,,2208.15954941815,2015,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2015-10-01,0.124,0.455,2166,0.13400347864397,0.459008495739933,2193.63179006344,2015,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
BA,2016-01-01,0.157,0.459,2309,0.14363669561262,0.454881032621763,2171.55152238639,2016,1,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
BA,2016-04-01,0.156,0.45100000000000007,2005,0.15641032430583,0.450045220688796,2065.54199440871,2016,2,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
BA,2016-07-01,0.16,0.453,2028,0.162821723886948,0.453967458703433,2086.25222991076,2016,3,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
BA,2016-10-01,0.16699999999999998,0.4489999999999999,2068,0.17686943363694,0.453027755163315,2090.65047492453,2016,4,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
BA,2017-01-01,0.187,0.4570000000000001,2370,0.177647469837281,0.45328816205595,2217.64682208547,2017,1,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
BA,2017-04-01,0.17600000000000002,0.45,2152,0.172980362725157,0.4485857127881,2223.26731557719,2017,2,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
BA,2017-07-01,0.168,0.453,2061,0.170623021022013,0.454150592136612,2126.32615193201,2017,3,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
BA,2017-10-01,0.151,0.45100000000000007,2347,0.160250995084094,0.454601171650499,2363.00292280701,2017,4,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
BA,2018-01-01,0.181,0.46,2480,0.168432993638687,0.457026271933567,2323.19258105833,2018,1,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
BA,2018-04-01,0.16699999999999998,0.46,2196,0.168094831305327,0.45820261948899,2270.59492254751,2018,2,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
CE,2012-01-01,0.073,,2113,0.069119464446918,,2062.48968524612,2012,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2012-04-01,0.08199999999999999,,2038,0.078773345207219,,2048.88315714588,2012,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2012-07-01,0.081,,2085,0.0804091452473351,,2083.1268861285,2012,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2012-10-01,0.075,,2047,0.0826844876126268,,2090.28045291305,2012,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2013-01-01,0.08900000000000001,,2157,0.0850852112542079,,2102.88203938106,2013,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2013-04-01,0.085,,2158,0.0819249115494058,,2168.52248251256,2013,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2013-07-01,0.073,,2214,0.0722599743859232,,2219.07011414835,2013,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2013-10-01,0.069,,2109,0.0768658432531825,,2149.15575021303,2013,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2014-01-01,0.079,,2240,0.0747028974392923,,2178.3141603936,2014,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2014-04-01,0.075,,2143,0.0722231401100625,,2156.86178187954,2014,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2014-07-01,0.075,,2140,0.0742759788753451,,2156.69188677372,2014,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2014-10-01,0.066,,2099,0.0740718823849967,,2131.56367647572,2014,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2015-01-01,0.081,,2145,0.0760180590229418,,2071.92063264168,2015,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2015-04-01,0.08900000000000001,,2137,0.0865633611936082,,2160.31485489409,2015,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2015-07-01,0.097,,2103,0.0965833056656041,,2129.79621175197,2015,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2015-10-01,0.091,0.46,2123,0.0991677063497008,0.460645835183448,2146.75550322049,2015,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
CE,2016-01-01,0.109,0.466,2256,0.103183397110594,0.467193976391765,2171.46332303429,2016,1,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
CE,2016-04-01,0.116,0.461,2086,0.113965318553977,0.459058207255457,2121.3944159037,2016,2,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
CE,2016-07-01,0.133,0.45200000000000007,2009,0.13294818922769,0.451726498890234,2042.24348996663,2016,3,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
CE,2016-10-01,0.126,0.461,2103,0.134220887229513,0.462172372590705,2120.04324781047,2016,4,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
CE,2017-01-01,0.145,0.4620000000000001,2243,0.138299463781131,0.463178817282517,2147.37305852946,2017,1,FALSE,TRUE,FALSE,,crisis,2016-01-25,2017-05-04
CE,2017-04-01,0.133,0.4570000000000001,2071,0.131579836381485,0.455046638642766,2119.05882871647,2017,2,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
CE,2017-07-01,0.119,0.45200000000000007,2131,0.119191714820454,0.45107376818632,2166.38155237897,2017,3,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
CE,2017-10-01,0.112,0.45,2246,0.12006332448899,0.451823720366664,2258.57359098002,2017,4,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
CE,2018-01-01,0.129,0.43999999999999995,2334,0.121745074977835,0.441320998423492,2230.55733993559,2018,1,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
CE,2018-04-01,0.118,0.456,2203,0.116998230234241,0.454192382897718,2263.83875687715,2018,2,FALSE,TRUE,FALSE,,post,2016-01-25,2017-05-04
DF,2012-01-01,0.08800000000000001,,6531,0.0926378113170196,,6287.75680374937,2012,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2012-04-01,0.085,,6046,0.0847428973298254,,6150.19423096296,2012,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2012-07-01,0.087,,6022,0.0869008893414136,,6209.26077123321,2012,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2012-10-01,0.08900000000000001,,6238,0.0928297734910113,,6194.94613232557,2012,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2013-01-01,0.097,,6358,0.0878925492004743,,6106.47150775141,2013,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2013-04-01,0.092,,6134,0.0939453162520684,,6240.44453986284,2013,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2013-07-01,0.08900000000000001,,5956,0.090007363671128,,6144.71745923719,2013,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2013-10-01,0.085,,6228,0.0890082872023002,,6190.18590189522,2013,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2014-01-01,0.09,,6220,0.0841121194047456,,5956.70406610816,2014,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2014-04-01,0.091,,5659,0.0893837745220497,,5768.82014215761,2014,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2014-07-01,0.08900000000000001,,5576,0.0901887797715203,,5770.62260226301,2014,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2014-10-01,0.08800000000000001,,5769,0.0923370116582398,,5736.09470147406,2014,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2015-01-01,0.108,,6207,0.098142009242526,,5921.10272126899,2015,1,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2015-04-01,0.098,,6042,0.0998392600871348,,6168.82720991365,2015,2,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2015-07-01,0.104,,5918,0.105329642346297,,6114.58111257807,2015,3,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
DF,2015-10-01,0.098,0.747,6112,0.102766232833203,0.749150675773131,6083.08980907858,2015,4,FALSE,TRUE,FALSE,,pre,2016-01-25,2017-05-04
