state_abbrev,monthly_pre_periods,unemployment_rate,formalization_rate,labor_income_real,transfer_dependency_ratio,health_expenditure_real_pc,education_expenditure_real_pc,public_security_expenditure_real_pc,donor_pool_main,excluded_from_main_donor_pool,donor_pool_exclusion_reason
AC,36,0.08476411802521491,0.471093035123733,2737.6033105327488,1.1114834269612715e-9,268.96158561295425,344.03849444095664,153.64401758602764,TRUE,FALSE,
AL,36,0.10844141230497703,0.524035150334992,2094.4845886597436,-8.929866174489374e-10,88.59145519804069,87.44570998825318,91.44152452606113,TRUE,FALSE,
AM,36,0.09059612607673387,0.46081379534106,2770.0494494013874,-7.320337799923907e-10,185.04855940352078,165.17709608159424,100.63502330833694,FALSE,TRUE,treated_unit
AP,36,0.11633350874987217,0.517890279500283,2906.490759478218,-3.54077396121176e-9,204.29059738309724,308.88331453799157,172.24160550226443,TRUE,FALSE,
BA,36,0.11277656151540703,0.459008495739933,2141.913885902327,2.3964675908852776e-9,106.4490214914329,88.81666075898347,70.87526306525754,TRUE,FALSE,
CE,36,0.08004554462489812,0.460645835183448,2128.53932973246,3.0174824502499353e-9,89.17933780962002,83.28953059331835,57.47472821557407,TRUE,FALSE,
DF,36,0.09250398235443481,0.749150675773131,6065.238731991244,-1.2123918335652337e-9,628.2754126010939,666.3494030041153,60.46445944944094,TRUE,FALSE,
ES,36,0.07095100006613819,0.632943975816733,3079.6520517868958,-9.073407624738718e-10,170.90101397443823,93.08188014266689,90.56441253264266,TRUE,FALSE,
GO,36,0.05920311998415853,0.615085072872738,3115.4769355318263,2.0800075319541449e-10,118.4926239136932,158.57759291083053,107.41973235486944,TRUE,FALSE,
MA,36,0.07969571774629068,0.352884858744986,1671.3964244324181,-1.1731853593341386e-9,67.01258917540171,93.34228296760944,47.47684643268515,TRUE,FALSE,
MG,36,0.07255329847017213,0.624774018611148,2906.2283670970214,-1.8365659547900457e-10,87.47971120797224,106.88759500567562,178.73035473740492,TRUE,FALSE,
MS,36,0.05318339852566627,0.624158635680166,3159.0269284043693,-5.137771647649934e-10,88.29670657076713,149.0233787014219,116.71150269205059,TRUE,FALSE,
MT,36,0.05086087707589149,0.610450758798895,3272.354564955533,-2.20182376657036e-9,121.94248931069228,168.77726048611802,122.9825563910952,TRUE,FALSE,
PA,36,0.07751592352315864,0.393952268350082,2201.7338449186263,9.882390961237802e-10,78.29274187306495,105.9374921764597,75.84366649437953,TRUE,FALSE,
PB,36,0.09208491663604525,0.478148090341007,2108.4346921438932,-1.5229092610815594e-10,79.48013603916992,119.09435799878362,66.83828307692465,TRUE,FALSE,
PE,36,0.09095667296503263,0.536106347371455,2731.2291594237117,2.1387130420246387e-11,138.66466397711193,90.81644839654783,66.70797944531341,TRUE,FALSE,
PI,36,0.07218398819502501,0.418261839763283,1974.3745938728825,4.405541398016331e-9,109.7812117833478,105.3728306615712,20.593304834524176,TRUE,FALSE,
PR,36,0.04856878833957224,0.684600707749217,3527.1191044701286,1.4228523262310958e-9,90.9842126961417,223.74502499100583,83.73768833386134,TRUE,FALSE,
RJ,36,0.07114904358738115,0.685827392912692,3482.080901880566,9.91472409652295e-10,89.53489784627398,109.22975515649702,152.25868271567427,FALSE,TRUE,coded_rupture_in_main_estimation_window:RJ_2014_01
RN,36,0.1137984930438375,0.555956496517421,2283.728847750996,-4.840758971475972e-9,88.50850858623643,94.54024733667461,62.05268223592962,TRUE,FALSE,
RO,36,0.05346970717136087,0.516060184679266,2637.465654836118,-5.094457928428442e-10,143.66410172394137,162.0009528235793,150.16893839882232,TRUE,FALSE,
RR,36,0.07692428210453839,0.56565355989001,3324.3161195039106,-2.0811969534892394e-9,283.6253910308532,313.8582626511259,168.72107221762948,TRUE,FALSE,
RS,36,0.05304014099442265,0.684960512657389,3525.248287997574,2.866340902243385e-10,126.00195695393788,112.5884119129413,78.15713008354913,TRUE,FALSE,
SC,36,0.03415329810037583,0.739960228325183,3511.9188739157125,4.1056313976437285e-10,111.00468007434725,126.77874959454816,85.1385534159161,TRUE,FALSE,
SE,36,0.09888074041462086,0.504058856425571,2499.1932791507875,-1.0982519812556084e-10,120.76914197942949,112.69708225735317,101.45696241079433,TRUE,FALSE,
SP,36,0.07814061490325398,0.735871430133135,4252.461914760675,-8.301754800363759e-10,137.08498222998713,206.1745233989873,73.63814042663998,TRUE,FALSE,
TO,36,0.07930656805877731,0.575105664616611,2595.6900105472487,6.218898889488553e-9,238.01561763505327,171.3968745189288,122.50467286842274,FALSE,TRUE,coded_rupture_in_main_estimation_window:TO_2018_01
