donor_state,coefficient
SC,0.5046349621150285
PE,0.44038385852419204
MA,-0.3197276506746621
MS,-0.2645154154291337
AC,0.23595189214007828
MG,-0.1987429021230922
PR,0.191565800562637
BA,0.17903121507687725
MT,-0.17337652943662746
RJ,0.16784490611793282
GO,0.1675449263753858
PA,-0.16285964676788717
RN,0.16131585106081084
SE,-0.14069563167028606
PB,-0.13799517854867874
PI,0.13029736671606837
AP,-0.12812642304376692
CE,-0.0899745215253834
SP,0.08060909194020777
AL,0.06964935206711247
ES,-0.04705025462122705
DF,0.039585993910095596
RO,0.03141075910551828
RS,0.022076743602419693
