donor_state,scm_weight
BA,0.2908879635879971
PE,0.1895596232082267
MA,0.1516620980672866
GO,0.0909778772818013
MS,0.08159521455696746
RR,0.07783246838185963
RS,0.07314960815501273
DF,0.044335146760847745
SC,1.9783229445205505e-16
PR,1.389968260328535e-16
PB,1.3332073765536133e-16
ES,1.1202528838015019e-16
MG,2.452258986561739e-17
SP,2.309011164318407e-17
CE,1.7180681397825758e-17
PA,7.396275579863084e-18
AL,6.536849431129149e-18
AC,1.6358330153114345e-18
RO,6.454561497540407e-19
AP,0
MT,0
PI,0
RN,0
SE,0
